#date;end_date;event_text;link;category
1059;;Pope Nicholas II reforms papal elections, strengthening the College of Cardinals.;https://en.wikipedia.org/wiki/Papal_election,_1059;Italian History
1077;;Matilda of Tuscany hosts the meeting at Canossa during the Investiture Controversy.;https://en.wikipedia.org/wiki/Walk_to_Canossa;Italian History
1130;;Roger II becomes king of Sicily.;https://en.wikipedia.org/wiki/Roger_II_of_Sicily;Italian History
1167;;The Lombard League forms against Frederick Barbarossa.;https://en.wikipedia.org/wiki/Lombard_League;Italian History
1176;;The Lombard League defeats Frederick Barbarossa at Legnano.;https://en.wikipedia.org/wiki/Battle_of_Legnano;Italian History
1183;;The Peace of Constance recognises communal rights in northern Italy.;https://en.wikipedia.org/wiki/Peace_of_Constance;Italian History
1220;;Frederick II is crowned Holy Roman Emperor and rules from Sicily.;https://en.wikipedia.org/wiki/Frederick_II,_Holy_Roman_Emperor;Italian History
1266;;Charles of Anjou defeats Manfred at Benevento and takes Sicily.;https://en.wikipedia.org/wiki/Battle_of_Benevento;Italian History
30 MAR 1282;;The Sicilian Vespers revolt changes control of Sicily.;https://en.wikipedia.org/wiki/Sicilian_Vespers;Italian History
1302;;The Peace of Caltabellotta divides Angevin and Aragonese claims in southern Italy.;https://en.wikipedia.org/wiki/Peace_of_Caltabellotta;Italian History
9 MAR 1309;;The papacy moves from Rome to Avignon, weakening Rome’s position.;https://en.wikipedia.org/wiki/Avignon_Papacy;Italian History
1 JAN 1348;;The Black Death reaches Italian cities, including Florence and Venice.;https://en.wikipedia.org/wiki/Black_Death;Italian History
1378;;The Western Schism begins after disputed papal elections.;https://en.wikipedia.org/wiki/Western_Schism;Italian History
1406;;Pisa comes under Florentine control.;https://en.wikipedia.org/wiki/History_of_Pisa;Italian History
1434;;Cosimo de’ Medici returns to Florence and dominates its politics.;https://en.wikipedia.org/wiki/Cosimo_de_Medici;Italian History
1454;;The Peace of Lodi creates a balance among major Italian states.;https://en.wikipedia.org/wiki/Peace_of_Lodi;Italian History
1494;;Charles VIII of France invades Italy, beginning the Italian Wars.;https://en.wikipedia.org/wiki/Italian_Wars;Italian History
1498;;Savonarola is executed in Florence.;https://en.wikipedia.org/wiki/Girolamo_Savonarola;Italian History
1503;;Pope Julius II begins an energetic papacy linked with art, war and reform.;https://en.wikipedia.org/wiki/Pope_Julius_II;Italian History
1512;;The Medici return to power in Florence.;https://en.wikipedia.org/wiki/House_of_Medici;Italian History
1527;;The Sack of Rome shocks Renaissance Italy.;https://en.wikipedia.org/wiki/Sack_of_Rome_(1527);Italian History
1530;;Florence is besieged and Medici rule is restored.;https://en.wikipedia.org/wiki/Siege_of_Florence_(1529–1530);Italian History
1559;;The Peace of Cateau-Cambrésis confirms Spanish dominance in much of Italy.;https://en.wikipedia.org/wiki/Peace_of_Cateau-Cambrésis;Italian History
1563;;The Council of Trent ends and shapes Catholic reform from northern Italy.;https://en.wikipedia.org/wiki/Council_of_Trent;Italian History
1600;;Giordano Bruno is executed in Rome.;https://en.wikipedia.org/wiki/Giordano_Bruno;Italian History
1609;;Galileo demonstrates his improved telescope in Venice.;https://en.wikipedia.org/wiki/Galileo_Galilei;Italian History
1633;;Galileo is tried by the Roman Inquisition.;https://en.wikipedia.org/wiki/Galileo_affair;Italian History
1647;;Masaniello leads a revolt in Naples against Spanish rule.;https://en.wikipedia.org/wiki/Masaniello;Italian History
1713;;The Treaty of Utrecht redistributes several Italian territories after the War of the Spanish Succession.;https://en.wikipedia.org/wiki/Treaty_of_Utrecht;Italian History
1734;;The Bourbon dynasty gains Naples and Sicily.;https://en.wikipedia.org/wiki/Kingdom_of_Naples;Italian History
12 APR 1796;;Napoleon wins at Montenotte, opening his first major Italian campaign.;https://en.wikipedia.org/wiki/Italian_campaigns_of_the_French_Revolutionary_Wars;Italian History
1797;;The Venetian Republic ends after more than a thousand years.;https://en.wikipedia.org/wiki/Republic_of_Venice;Italian History
1805;;Napoleon is crowned King of Italy in Milan.;https://en.wikipedia.org/wiki/Kingdom_of_Italy_(Napoleonic);Italian History
1815;;The Congress of Vienna restores many pre-Napoleonic rulers in Italy.;https://en.wikipedia.org/wiki/Congress_of_Vienna;Italian History
2 JUL 1820;;A Carbonari-linked revolt begins in Naples, challenging restored governments.;https://en.wikipedia.org/wiki/Carbonari;Italian History
1831;;Giuseppe Mazzini founds Young Italy.;https://en.wikipedia.org/wiki/Young_Italy;Italian History
12 JAN 1848;;Revolution begins in Palermo, opening the 1848 revolutions in the Italian states.;https://en.wikipedia.org/wiki/Revolutions_of_1848_in_the_Italian_states;Italian History
1859;;The Second Italian War of Independence weakens Austrian control.;https://en.wikipedia.org/wiki/Second_Italian_War_of_Independence;Italian History
1860;;Garibaldi’s Expedition of the Thousand conquers Sicily and Naples.;https://en.wikipedia.org/wiki/Expedition_of_the_Thousand;Italian History
17 MAR 1861;;The Kingdom of Italy is proclaimed.;https://en.wikipedia.org/wiki/Unification_of_Italy;Italian History
1866;;Venetia joins the Kingdom of Italy after the Third War of Independence.;https://en.wikipedia.org/wiki/Third_Italian_War_of_Independence;Italian History
1870;;Italian troops capture Rome, completing unification.;https://en.wikipedia.org/wiki/Capture_of_Rome;Italian History
1 JUL 1871;;Rome becomes the capital of Italy.;https://en.wikipedia.org/wiki/Rome;Italian History
1882;;Italy joins the Triple Alliance with Germany and Austria-Hungary.;https://en.wikipedia.org/wiki/Triple_Alliance_(1882);Italian History
1896;;Italian forces are defeated by Ethiopia at Adwa.;https://en.wikipedia.org/wiki/Battle_of_Adwa;Italian History
29 SEP 1911;;Italy declares war on the Ottoman Empire, beginning the Italo-Turkish War.;https://en.wikipedia.org/wiki/Italo-Turkish_War;Italian History
23 MAY 1915;;Italy declares war on Austria-Hungary and enters the First World War on the Allied side.;https://en.wikipedia.org/wiki/Italy_in_World_War_I;Italian History
1919;;The Biennio Rosso brings strikes, factory occupations and unrest.;https://en.wikipedia.org/wiki/Biennio_Rosso;Italian History
1922;;Mussolini’s March on Rome brings Fascists to power.;https://en.wikipedia.org/wiki/March_on_Rome;Italian History
1929;;The Lateran Treaty creates Vatican City and settles church-state relations.;https://en.wikipedia.org/wiki/Lateran_Treaty;Italian History
1935;;Italy invades and occupies Ethiopia.;https://en.wikipedia.org/wiki/Second_Italo-Ethiopian_War;Italian History
1938;;Fascist racial laws target Italian Jews.;https://en.wikipedia.org/wiki/Italian_racial_laws;Italian History
1940;;Italy is drawn into the Second World War.;https://en.wikipedia.org/wiki/Military_history_of_Italy_during_World_War_II;Italian History
1943;;Mussolini falls and Italy signs an armistice with the Allies.;https://en.wikipedia.org/wiki/Armistice_of_Cassibile;Italian History
1945;;Mussolini is executed and German occupation collapses in northern Italy.;https://en.wikipedia.org/wiki/Death_of_Benito_Mussolini;Italian History
