#date;end_date;event_text;link;category
1066;;Norman power from France reshapes England after the Norman Conquest.;https://en.wikipedia.org/wiki/Norman_Conquest;French History
1180;;Philip II becomes king and strengthens Capetian royal authority.;https://en.wikipedia.org/wiki/Philip_II_of_France;French History
27 JUL 1214;;France defeats a coalition at the Battle of Bouvines.;https://en.wikipedia.org/wiki/Battle_of_Bouvines;French History
1226;;Louis IX becomes king of France.;https://en.wikipedia.org/wiki/Louis_IX_of_France;French History
1302;;Philip IV summons the Estates-General.;https://en.wikipedia.org/wiki/Estates_General_(France);French History
1307;;The Knights Templar are arrested in France by order of Philip IV.;https://en.wikipedia.org/wiki/Knights_Templar;French History
24 MAY 1337;;Philip VI confiscates Gascony, helping begin the Hundred Years War between France and England.;https://en.wikipedia.org/wiki/Hundred_Years_War;French History
1348;;The Black Death reaches France.;https://en.wikipedia.org/wiki/Black_Death_in_France;French History
25 OCT 1415;;French forces are defeated at Agincourt.;https://en.wikipedia.org/wiki/Battle_of_Agincourt;French History
8 MAY 1429;;Joan of Arc helps lift the Siege of Orléans.;https://en.wikipedia.org/wiki/Joan_of_Arc;French History
30 MAY 1431;;Joan of Arc is executed at Rouen.;https://en.wikipedia.org/wiki/Joan_of_Arc;French History
1453;;The Hundred Years War ends with French victory at Castillon.;https://en.wikipedia.org/wiki/Battle_of_Castillon;French History
2 SEP 1494;;Charles VIII invades Italy, beginning the Italian Wars.;https://en.wikipedia.org/wiki/Italian_Wars;French History
1515;;Francis I wins the Battle of Marignano.;https://en.wikipedia.org/wiki/Battle_of_Marignano;French History
1539;;The Ordinance of Villers-Cotterêts makes French the language of legal administration.;https://en.wikipedia.org/wiki/Ordinance_of_Villers-Cotterêts;French History
1 MAR 1562;;The massacre of Vassy helps trigger the French Wars of Religion.;https://en.wikipedia.org/wiki/French_Wars_of_Religion;French History
1572;;The St Bartholomew’s Day massacre kills many Huguenots.;https://en.wikipedia.org/wiki/St._Bartholomews_Day_massacre;French History
1589;;Henry IV becomes king of France.;https://en.wikipedia.org/wiki/Henry_IV_of_France;French History
13 APR 1598;;The Edict of Nantes grants limited toleration to Huguenots.;https://en.wikipedia.org/wiki/Edict_of_Nantes;French History
1610;;Henry IV is assassinated and Louis XIII becomes king.;https://en.wikipedia.org/wiki/Louis_XIII;French History
1635;;France enters the Thirty Years War.;https://en.wikipedia.org/wiki/Thirty_Years_War;French History
1643;;Louis XIV becomes king as a child.;https://en.wikipedia.org/wiki/Louis_XIV;French History
26 AUG 1648;;The uprising known as the Fronde begins in Paris and challenges royal authority.;https://en.wikipedia.org/wiki/Fronde;French History
1682;;Louis XIV moves the royal court to Versailles.;https://en.wikipedia.org/wiki/Palace_of_Versailles;French History
13 APR 1598;;The Edict of Nantes is revoked.;https://en.wikipedia.org/wiki/Edict_of_Fontainebleau;French History
9 JUL 1701;;The War of the Spanish Succession begins, drawing France into a major European conflict.;https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession;French History
1715;;Louis XIV dies after a long reign.;https://en.wikipedia.org/wiki/Louis_XIV;French History
1756;;France fights Britain in the Seven Years War.;https://en.wikipedia.org/wiki/Seven_Years_War;French History
1763;;The Treaty of Paris ends most French rule in North America.;https://en.wikipedia.org/wiki/Treaty_of_Paris_(1763);French History
1789;;The French Revolution begins with the meeting of the Estates-General and the fall of the Bastille.;https://en.wikipedia.org/wiki/French_Revolution;French History
26 AUG 1789;;The Declaration of the Rights of Man and of the Citizen is adopted.;https://en.wikipedia.org/wiki/Declaration_of_the_Rights_of_Man_and_of_the_Citizen;French History
1792;;The French monarchy is abolished and the First Republic is proclaimed.;https://en.wikipedia.org/wiki/French_First_Republic;French History
