#date;end_date;event_text;link;category
MAR 1606;;The Dutch East India Company (VOC) ship Duyfken, under Captain Willem Janszoon, explores the western coast of Cape York Peninsula. This was the first recorded landfall by a European on Australian soil.;https://www.nma.gov.au/defining-moments/resources/janszoon-maps-northern-australian-coast;Australian History
25 OCT 1616;;Dutch captain Dirk Hartog in the Eendracht makes the second recorded landfall by a European, at Dirk Hartog Island on the western coast of Australia. Leaves behind the Hartog Plate.;https://en.wikipedia.org/wiki/Dirk_Hartog;Australian History
24 NOV 1642;;Dutch explorer Abel Tasman explores the west coast of Tasmania, lands on its east coast and names the island Anthoonij van Diemenslandt.;https://en.wikipedia.org/wiki/Abel_Tasman;Australian History
22 AUG 1770;;English Lieutenant James Cook's expedition in HM Bark Endeavour charts the eastern coast, and claims it for the British Crown. Australia dubbed 'terra nullius' i.e., according to the European legal precepts of the era, it was 'owned' by no-one.;https://www.nma.gov.au/defining-moments/resources/cook-claims-australia;Australian History
26 JAN 1788;;The British First Fleet, led by Governor Arthur Phillip arrives in New South Wales to found first European settlement and penal colony at Sydney. Colony includes 'all the islands adjacent in the Pacific Ocean' and running westward to the 135th meridian east. This claim included the islands of New Zealand, which were administered as part of New South Wales.;https://www.nma.gov.au/defining-moments/resources/first-fleet-arrives-sydney-cove;Australian History
7 OCT 1798;;George Bass and Matthew Flinders leave Sydney in the Norfolk to explore and circumnavigate Van Diemen’s Land.;https://www.nma.gov.au/defining-moments/resources/flinders-and-bass-map-australia;Australian History
12 JAN 1799;;Bass and Flinders return to Sydney after proving that Van Diemen’s Land is an island separated from the mainland by Bass Strait.;https://www.nma.gov.au/defining-moments/resources/flinders-and-bass-map-australia;Australian History
1803;;Matthew Flinders completes the first circumnavigation of the continent (still known as 'New Holland').;https://en.wikipedia.org/wiki/Matthew_Flinders;Australian History
26 JAN 1808;;The Rum Rebellion.;https://en.wikipedia.org/wiki/Rum_Rebellion;Australian History
31 MAY 1813;;Blaxland, Lawson and Wentworth cross the Blue Mountains, opening the way for colonial expansion west of Sydney.;https://en.wikipedia.org/wiki/1813_crossing_of_the_Blue_Mountains;Australian History
8 APR 1817;;Australia's first bank, the Bank of New South Wales, opens in Macquarie Place, Sydney (it became Westpac in 1982).;https://en.wikipedia.org/wiki/Westpac;Australian History
1824;;A penal colony is founded at Moreton Bay, now the city of Brisbane.;https://en.wikipedia.org/wiki/Moreton_Bay_Penal_Settlement;Australian History
3 DEC 1825;;New South Wales western border is extended to 129 degrees E. Van Diemen's Land is proclaimed.;https://en.wikipedia.org/wiki/Van_Diemen%27s_Land;Australian History
12 AUG 1829;;The whole of Australia is claimed as British territory. The settlement of Perth is founded. Swan River Colony is declared by Charles Fremantle for Britain.;https://en.wikipedia.org/wiki/Swan_River_Colony;Australian History
1831;;Sydney Herald (later to become The Sydney Morning Herald) first published.;https://en.wikipedia.org/wiki/The_Sydney_Morning_Herald;Australian History
1835;;John Batman and John Pascoe Fawkner establish a settlement at Port Phillip, now the city of Melbourne.;https://en.wikipedia.org/wiki/History_of_Melbourne;Australian History
28 DEC 1836;;Province of South Australia proclaimed with its western border at 132 degrees E.;https://en.wikipedia.org/wiki/History_of_South_Australia;Australian History
1843;;Australia's first parliamentary elections held for the New South Wales Legislative Council (though voting rights are restricted to males of certain wealth or property).;https://en.wikipedia.org/wiki/1843_New_South_Wales_colonial_election;Australian History
1850;;Australian Colonies Government Act [1850] grants representative constitutions to New South Wales, Victoria, South Australia and Tasmania, colonies set about writing constitutions which produced democratically progressive parliaments.;https://en.wikipedia.org/wiki/Australian_Colonies_Government_Act;Australian History
1850;;Australia's first university, the University of Sydney, is founded.;https://en.wikipedia.org/wiki/University_of_Sydney;Australian History
1 JUL 1851;;Victoria separates from New South Wales.;https://en.wikipedia.org/wiki/Separation_of_Victoria_from_New_South_Wales;Australian History
1851;;The Victorian gold rush starts when gold is found at Summerhill Creek and Ballarat.;https://en.wikipedia.org/wiki/Victorian_gold_rush;Australian History
3 DEC 1854;;The Eureka Stockade.;https://www.nma.gov.au/defining-moments/resources/eureka-stockade;Australian History
1855;;All men over 21 years of age obtain the right to vote in South Australia.;https://en.wikipedia.org/wiki/Women%27s_suffrage_in_Australia;Australian History
1 JAN 1856;;Van Diemen's Land name changed to Tasmania.;https://en.wikipedia.org/wiki/Van_Diemen%27s_Land;Australian History
6 JUN 1859;;Queensland separates from New South Wales with its western border at 141 degrees E.;https://en.wikipedia.org/wiki/Separation_of_Queensland;Australian History
1867;;Saint Mary MacKillop founds Sisters of St Joseph of the Sacred Heart.;https://en.wikipedia.org/wiki/Mary_MacKillop;Australian History
1869;;Children of Australian Aboriginal and Torres Strait Islander descent are removed from their families by Australian and State government agencies.;https://en.wikipedia.org/wiki/Lu%C3%ADs_Vaz_de_Torres;Australian History
22 AUG 1872;;Overland Telegraph Line linking Darwin and Adelaide opens.;https://en.wikipedia.org/wiki/Australian_Overland_Telegraph_Line;Australian History
11 NOV 1880;;The bushranger Ned Kelly is hanged.;https://www.nma.gov.au/defining-moments/resources/ned-kelly;Australian History
1883;;The opening of the Sydney-Melbourne railway.;https://en.wikipedia.org/wiki/Sydney%E2%80%93Melbourne_rail_corridor;Australian History
24 OCT 1889;;Sir Henry Parkes delivers the Tenterfield Oration.;https://peo.gov.au/understand-our-parliament/history-of-parliament/history-milestones/australian-parliament-history-timeline;Australian History
1891;;A severe depression hits Australia.;https://en.wikipedia.org/wiki/Timeline_of_Australian_history;Australian History
18 DEC 1894;;South Australia becomes the first Australian colony, and the second place in the world, to grant women the right to vote, as well the first Parliament in the world to allow women to stand for office.;https://en.wikipedia.org/wiki/1st_Parliament_of_Australia;Australian History
1898;;"After much public debate, the Victorian, South Australian and Tasmanian referendums are successful; the New South Wales referendum narrowly fails. Later New South Wales votes 'yes' in a second referendum, and Queensland and Western Australia also vote to join.";https://en.wikipedia.org/wiki/Western_Australia;Australian History
1899;;The first contingents from various Australian colonies are sent to South Africa to participate in the Second Boer War.;https://en.wikipedia.org/wiki/Military_history_of_Australia_during_the_Second_Boer_War;Australian History
1900;;The constitution is passed by the Parliament of the United Kingdom as a schedule to the Commonwealth of Australia Constitution Act, and is given royal assent.;https://peo.gov.au/understand-our-parliament/history-of-parliament/federation/the-federation-of-australia;Australian History
1 JAN 1901;;"Australia becomes a federation on 1 January. Edmund Barton becomes Prime Minister; the 7th Earl of Hopetoun becomes Governor-General.";https://peo.gov.au/understand-our-parliament/history-of-parliament/federation/the-federation-of-australia;Australian History
9 MAY 1901;;The first parliament met in Parliament House, Melbourne.;https://en.wikipedia.org/wiki/1st_Parliament_of_Australia;Australian History
23 DEC 1901;;Immigration Restriction act was introduced- The White Australian Policy.;https://en.wikipedia.org/wiki/White_Australia_policy;Australian History
12 JUN 1902;;The Franchise Act guarantees women the right to vote in federal elections (by this stage, most states had already done this). However, it excludes most non-European ethnic groups, including Aboriginal people, unless already registered to vote on State roles.;https://en.wikipedia.org/wiki/Commonwealth_Franchise_Act_1902;Australian History
6 OCT 1903;;The High Court of Australia is established with Samuel Griffith as the first Chief Justice.;https://en.wikipedia.org/wiki/High_Court_of_Australia;Australian History
27 APR 1904;;Chris Watson forms the first federal Labor (minority) government.;https://en.wikipedia.org/wiki/Chris_Watson;Australian History
8 OCT 1908;;The Dalgety proposal for the national capital is revoked, and Canberra is chosen instead.;https://en.wikipedia.org/wiki/History_of_Canberra;Australian History
1 JAN 1911;;The Northern Territory comes under Commonwealth control, being split off from South Australia.;https://en.wikipedia.org/wiki/History_of_the_Northern_Territory;Australian History
1 JAN 1911;;Australian Capital Territory proclaimed.;https://en.wikipedia.org/wiki/History_of_Canberra;Australian History
3 APR 1911;;The first national census is conducted.;https://en.wikipedia.org/wiki/1911_Australian_census;Australian History
10 JUL 1911;;The Royal Australian Navy is founded.;https://en.wikipedia.org/wiki/Royal_Australian_Navy;Australian History
23 MAY 1912;;Walter Burley Griffin wins a design competition for the new city of Canberra.;https://en.wikipedia.org/wiki/History_of_Canberra;Australian History
4 AUG 1914;;Australian soldiers are sent to the First World War. This was first time Australians had fought under the Australian flag, as opposed to that of Britain's.;https://en.wikipedia.org/wiki/Military_history_of_Australia_during_World_War_I;Australian History
25 APR 1915;;Australian troops land at Anzac Cove on the Gallipoli Peninsula.;https://en.wikipedia.org/wiki/Military_history_of_Australia_during_World_War_I;Australian History
