#date;end_date;event_text;link;category
12 APR 1204;;The Fourth Crusade captures Constantinople and reshapes the Greek world.;https://en.wikipedia.org/wiki/Fourth_Crusade;Greek History
25 JUL 1261;;The Byzantines recapture Constantinople from the Latin Empire.;https://en.wikipedia.org/wiki/Recapture_of_Constantinople;Greek History
26 OCT 1341;;John VI Kantakouzenos is proclaimed emperor, opening a Byzantine civil war that weakens imperial power.;https://en.wikipedia.org/wiki/Byzantine_civil_war_of_1341–1347;Greek History
29 MAY 1453;;Constantinople falls to the Ottoman Empire.;https://en.wikipedia.org/wiki/Fall_of_Constantinople;Greek History
1460;;The Despotate of the Morea falls to the Ottomans.;https://en.wikipedia.org/wiki/Despotate_of_the_Morea;Greek History
27 SEP 1669;;Crete falls to the Ottomans after a long siege of Candia.;https://en.wikipedia.org/wiki/Siege_of_Candia;Greek History
1770;;The Orlov Revolt breaks out in the Peloponnese.;https://en.wikipedia.org/wiki/Orlov_revolt;Greek History
14 SEP 1814;;The Filiki Eteria is founded to support Greek independence.;https://en.wikipedia.org/wiki/Filiki_Eteria;Greek History
25 MAR 1821;;The Greek War of Independence begins.;https://en.wikipedia.org/wiki/Greek_War_of_Independence;Greek History
1 JAN 1822;;The First National Assembly at Epidaurus declares Greek independence.;https://en.wikipedia.org/wiki/First_National_Assembly_at_Epidaurus;Greek History
1827;;Allied fleets defeat the Ottoman-Egyptian fleet at Navarino.;https://en.wikipedia.org/wiki/Battle_of_Navarino;Greek History
3 FEB 1830;;The London Protocol recognises Greek independence.;https://en.wikipedia.org/wiki/London_Protocol_(1830);Greek History
30 AUG 1832;;The Kingdom of Greece is established with Otto as king.;https://en.wikipedia.org/wiki/Kingdom_of_Greece;Greek History
1843;;A revolution forces King Otto to grant a constitution.;https://en.wikipedia.org/wiki/3_September_1843_Revolution;Greek History
1864;;The Ionian Islands are united with Greece.;https://en.wikipedia.org/wiki/United_States_of_the_Ionian_Islands;Greek History
1881;;Thessaly is annexed to Greece.;https://en.wikipedia.org/wiki/Thessaly;Greek History
6 APR 1896;;Athens hosts the first modern Olympic Games.;https://en.wikipedia.org/wiki/1896_Summer_Olympics;Greek History
1897;;Greece is defeated in the Greco-Turkish War.;https://en.wikipedia.org/wiki/Greco-Turkish_War_(1897);Greek History
1909;;The Goudi coup prompts political reform.;https://en.wikipedia.org/wiki/Goudi_coup;Greek History
1912;;Greece fights in the Balkan Wars and expands its territory.;https://en.wikipedia.org/wiki/Balkan_Wars;Greek History
1917;;Greece enters the First World War on the Allied side.;https://en.wikipedia.org/wiki/National_Schism;Greek History
15 MAY 1919;;Greek forces land at Smyrna, beginning the Greco-Turkish War phase that ends in defeat in Asia Minor.;https://en.wikipedia.org/wiki/Greco-Turkish_War_(1919–1922);Greek History
24 JUL 1923;;The Treaty of Lausanne confirms a compulsory population exchange between Greece and Turkey.;https://en.wikipedia.org/wiki/Population_exchange_between_Greece_and_Turkey;Greek History
1924;;The Second Hellenic Republic is proclaimed.;https://en.wikipedia.org/wiki/Second_Hellenic_Republic;Greek History
4 AUG 1936;;Ioannis Metaxas establishes an authoritarian regime.;https://en.wikipedia.org/wiki/4th_of_August_Regime;Greek History
28 OCT 1940;;Greece rejects Italy’s ultimatum and enters the Second World War.;https://en.wikipedia.org/wiki/Ohi_Day;Greek History
6 APR 1941;;Germany invades Greece, leading to Axis occupation.;https://en.wikipedia.org/wiki/Axis_occupation_of_Greece;Greek History
30 MAR 1946;;Violence following elections marks the opening of the Greek Civil War.;https://en.wikipedia.org/wiki/Greek_Civil_War;Greek History
18 FEB 1952;;Greece joins NATO.;https://en.wikipedia.org/wiki/Greece–NATO_relations;Greek History
21 APR 1967;;A military coup establishes the Greek junta.;https://en.wikipedia.org/wiki/Greek_junta;Greek History
24 JUL 1974;;Democracy is restored after the fall of the junta.;https://en.wikipedia.org/wiki/Metapolitefsi;Greek History
1 JAN 1981;;Greece joins the European Communities.;https://en.wikipedia.org/wiki/Greece_in_the_European_Union;Greek History
1 JAN 2001;;Greece joins the eurozone.;https://en.wikipedia.org/wiki/Greece_and_the_euro;Greek History
13 AUG 2004;;Athens hosts the Olympic Games.;https://en.wikipedia.org/wiki/2004_Summer_Olympics;Greek History
2009;;The Greek government-debt crisis brings austerity and political change.;https://en.wikipedia.org/wiki/Greek_government-debt_crisis;Greek History
2015;;Greece holds a bailout referendum during the debt crisis.;https://en.wikipedia.org/wiki/2015_Greek_bailout_referendum;Greek History
17 JUN 2018;;The Prespa Agreement resolves the Macedonia naming dispute.;https://en.wikipedia.org/wiki/Prespa_Agreement;Greek History
2020;;The COVID-19 pandemic affects Greece.;https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Greece;Greek History
