#date;end_date;event_text;link;category
1526;;The Habsburgs inherit the crowns of Bohemia and Hungary after the Battle of Mohács.;https://en.wikipedia.org/wiki/Battle_of_Moh%C3%A1cs;Austro-Hungarian History
1683;1699;The Great Turkish War pushes Ottoman power back from Central Europe.;https://en.wikipedia.org/wiki/Great_Turkish_War;Austro-Hungarian History
1713;;The Pragmatic Sanction sets out Habsburg succession through the female line.;https://en.wikipedia.org/wiki/Pragmatic_Sanction_of_1713;Austro-Hungarian History
1740;;Maria Theresa inherits the Habsburg monarchy.;https://en.wikipedia.org/wiki/Maria_Theresa;Austro-Hungarian History
1804;;The Austrian Empire is proclaimed.;https://en.wikipedia.org/wiki/Austrian_Empire;Austro-Hungarian History
1848;1849;Revolutions and national uprisings shake the Habsburg Empire.;https://en.wikipedia.org/wiki/Revolutions_of_1848_in_the_Austrian_Empire;Austro-Hungarian History
1866;;Austria is defeated by Prussia, weakening its influence in German affairs.;https://en.wikipedia.org/wiki/Austro-Prussian_War;Austro-Hungarian History
1867;;The Austro-Hungarian Compromise creates Austria-Hungary as a Dual Monarchy.;https://en.wikipedia.org/wiki/Austro-Hungarian_Compromise_of_1867;Austro-Hungarian History
1868;;The Croatian-Hungarian Settlement defines Croatia-Slavonia's position within the Hungarian half of the monarchy.;https://en.wikipedia.org/wiki/Croatian%E2%80%93Hungarian_Settlement;Austro-Hungarian History
1878;;Austria-Hungary occupies Bosnia and Herzegovina after the Congress of Berlin.;https://en.wikipedia.org/wiki/Austro-Hungarian_rule_in_Bosnia_and_Herzegovina;Austro-Hungarian History
1879;;Austria-Hungary and Germany form the Dual Alliance.;https://en.wikipedia.org/wiki/Dual_Alliance_(1879);Austro-Hungarian History
1882;;The Triple Alliance links Austria-Hungary, Germany and Italy.;https://en.wikipedia.org/wiki/Triple_Alliance_(1882);Austro-Hungarian History
1896;;Hungary marks the millennium of the Hungarian state.;https://en.wikipedia.org/wiki/Hungarian_Millennium_Celebrations;Austro-Hungarian History
1907;;Universal male suffrage is introduced in the Austrian half of the monarchy.;https://en.wikipedia.org/wiki/1907_Cisleithanian_legislative_election;Austro-Hungarian History
1908;;Austria-Hungary formally annexes Bosnia and Herzegovina.;https://en.wikipedia.org/wiki/Bosnian_Crisis;Austro-Hungarian History
28 JUN 1914;;Archduke Franz Ferdinand is assassinated in Sarajevo.;https://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand;Austro-Hungarian History
28 JUL 1914;;Austria-Hungary declares war on Serbia, helping start the First World War.;https://en.wikipedia.org/wiki/Austro-Hungarian_declaration_of_war_on_Serbia;Austro-Hungarian History
1916;;Emperor Franz Joseph dies after a reign of nearly 68 years.;https://en.wikipedia.org/wiki/Franz_Joseph_I_of_Austria;Austro-Hungarian History
1918;;Austria-Hungary collapses and successor states emerge across Central Europe.;https://en.wikipedia.org/wiki/Dissolution_of_Austria-Hungary;Austro-Hungarian History
1919;;The Treaty of Saint-Germain confirms the break-up of the Austrian half of the monarchy.;https://en.wikipedia.org/wiki/Treaty_of_Saint-Germain-en-Laye_(1919);Austro-Hungarian History
1920;;The Treaty of Trianon redraws Hungary's borders after the collapse of Austria-Hungary.;https://en.wikipedia.org/wiki/Treaty_of_Trianon;Austro-Hungarian History
