#date;end_date;event_text;link;category
1016;;Llywelyn ap Seisyll becomes a leading ruler in Wales.;https://en.wikipedia.org/wiki/Llywelyn_ap_Seisyll;Welsh History
1039;;Gruffydd ap Llywelyn becomes ruler of Gwynedd and later unites much of Wales.;https://en.wikipedia.org/wiki/Gruffydd_ap_Llywelyn;Welsh History
1063;;Gruffydd ap Llywelyn is killed after conflict with Harold Godwinson.;https://en.wikipedia.org/wiki/Gruffydd_ap_Llywelyn;Welsh History
1067;;Norman pressure begins to reshape the Welsh Marches after the conquest of England.;https://en.wikipedia.org/wiki/Welsh_Marches;Welsh History
1094;;Welsh revolts challenge Norman power across parts of Wales.;https://en.wikipedia.org/wiki/History_of_Wales;Welsh History
1136;;Welsh forces defeat Norman forces at Crug Mawr.;https://en.wikipedia.org/wiki/Battle_of_Crug_Mawr;Welsh History
1176;;Rhys ap Gruffydd holds a celebrated cultural gathering at Cardigan, often linked to the eisteddfod tradition.;https://en.wikipedia.org/wiki/Rhys_ap_Gruffydd;Welsh History
1194;;Llywelyn the Great defeats his uncle Dafydd and becomes dominant in Gwynedd.;https://en.wikipedia.org/wiki/Llywelyn_the_Great;Welsh History
1 JAN 1216;;The Council of Aberdyfi recognises Llywelyn the Great’s leadership among Welsh rulers.;https://en.wikipedia.org/wiki/Council_of_Aberdyfi;Welsh History
1 JAN 1238;;The Treaty of Worcester confirms succession arrangements for Dafydd ap Llywelyn.;https://en.wikipedia.org/wiki/Treaty_of_Worcester_(1238);Welsh History
1240;;Llywelyn the Great dies and is succeeded by Dafydd ap Llywelyn.;https://en.wikipedia.org/wiki/Llywelyn_the_Great;Welsh History
1258;;Llywelyn ap Gruffudd is recognised by Welsh nobles as Prince of Wales.;https://en.wikipedia.org/wiki/Llywelyn_ap_Gruffudd;Welsh History
1267;;The Treaty of Montgomery recognises Llywelyn ap Gruffudd as Prince of Wales.;https://en.wikipedia.org/wiki/Treaty_of_Montgomery;Welsh History
11 DEC 1282;;Llywelyn ap Gruffudd is killed, ending the last major native principality of Wales.;https://en.wikipedia.org/wiki/Llywelyn_ap_Gruffudd;Welsh History
1283;;Dafydd ap Gruffydd is executed after the final defeat of native Welsh rule.;https://en.wikipedia.org/wiki/Dafydd_ap_Gruffydd;Welsh History
3 MAR 1284;;The Statute of Rhuddlan establishes English administration in conquered Wales.;https://en.wikipedia.org/wiki/Statute_of_Rhuddlan;Welsh History
1301;;Edward of Caernarfon is invested as Prince of Wales.;https://en.wikipedia.org/wiki/Prince_of_Wales;Welsh History
1349;;The Black Death reaches Wales and causes major population loss.;https://en.wikipedia.org/wiki/Black_Death_in_England;Welsh History
16 SEP 1400;;Owain Glyndŵr is proclaimed Prince of Wales, beginning a major Welsh revolt against English rule.;https://en.wikipedia.org/wiki/Glyndwr_Rising;Welsh History
1404;;Owain Glyndŵr holds a parliament at Machynlleth.;https://en.wikipedia.org/wiki/Owain_Glyndwr;Welsh History
1412;;Owain Glyndŵr disappears from the historical record.;https://en.wikipedia.org/wiki/Owain_Glyndwr;Welsh History
1457;;Henry Tudor is born at Pembroke Castle.;https://en.wikipedia.org/wiki/Henry_VII_of_England;Welsh History
7 AUG 1485;;Henry Tudor lands in Wales before defeating Richard III at Bosworth.;https://en.wikipedia.org/wiki/Henry_VII_of_England;Welsh History
1536;;The first Laws in Wales Act integrates Wales into the English legal system.;https://en.wikipedia.org/wiki/Laws_in_Wales_Acts_1535_and_1542;Welsh History
1542;;The second Laws in Wales Act completes the legal union process.;https://en.wikipedia.org/wiki/Laws_in_Wales_Acts_1535_and_1542;Welsh History
1567;;William Salesbury’s Welsh translation of the New Testament is published.;https://en.wikipedia.org/wiki/William_Salesbury;Welsh History
1588;;William Morgan’s Welsh Bible is published, helping preserve the Welsh language.;https://en.wikipedia.org/wiki/William_Morgan_(Bible_translator);Welsh History
1648;;Royalist resistance in Wales is defeated during the Second English Civil War.;https://en.wikipedia.org/wiki/Second_English_Civil_War;Welsh History
1689;;Nonconformist religious life grows after the Act of Toleration.;https://en.wikipedia.org/wiki/Act_of_Toleration_1689;Welsh History
1 JAN 1735;;The Welsh Methodist revival begins to gather pace under leaders such as Howell Harris.;https://en.wikipedia.org/wiki/Welsh_Methodist_revival;Welsh History
1760;;The Industrial Revolution begins transforming south Wales through iron, coal and ports.;https://en.wikipedia.org/wiki/Industrial_Revolution_in_Wales;Welsh History
1771;;The Cyfarthfa Ironworks opens near Merthyr Tydfil.;https://en.wikipedia.org/wiki/Cyfarthfa_Ironworks;Welsh History
1797;;The last invasion of Britain ends near Fishguard.;https://en.wikipedia.org/wiki/Battle_of_Fishguard;Welsh History
21 FEB 1804;;Richard Trevithick’s steam locomotive runs at Penydarren.;https://en.wikipedia.org/wiki/Penydarren_locomotive;Welsh History
3 JUN 1831;;The Merthyr Rising begins amid industrial hardship.;https://en.wikipedia.org/wiki/Merthyr_Rising;Welsh History
1815;;The Welsh Calvinistic Methodists establish a separate denomination.;https://en.wikipedia.org/wiki/Calvinistic_Methodists;Welsh History
3 JUN 1831;;The Merthyr Rising becomes a major working-class protest in industrial Wales.;https://en.wikipedia.org/wiki/Merthyr_Rising;Welsh History
13 MAY 1839;;The first major Rebecca Riot at Efailwen begins a period of protest against tollgates and rural hardship.;https://en.wikipedia.org/wiki/Rebecca_Riots;Welsh History
1847;;The Reports of the Commissioners of Inquiry into Education in Wales spark major debate.;https://en.wikipedia.org/wiki/Treachery_of_the_Blue_Books;Welsh History
1856;;The first Welsh-language newspaper Baner Cymru grows in influence during the nineteenth century.;https://en.wikipedia.org/wiki/History_of_Wales;Welsh History
1865;;Welsh settlers establish a colony in Patagonia.;https://en.wikipedia.org/wiki/Welsh_settlement_in_Argentina;Welsh History
1872;;Aberystwyth University opens as the first university college in Wales.;https://en.wikipedia.org/wiki/Aberystwyth_University;Welsh History
1881;;The Welsh Sunday Closing Act restricts Sunday alcohol sales in Wales.;https://en.wikipedia.org/wiki/Welsh_Sunday_Closing_Act_1881;Welsh History
1889;;County councils are established in Wales under local government reforms.;https://en.wikipedia.org/wiki/Local_Government_Act_1888;Welsh History
1893;;The University of Wales is founded.;https://en.wikipedia.org/wiki/University_of_Wales;Welsh History
1905;;Cardiff gains city status.;https://en.wikipedia.org/wiki/Cardiff;Welsh History
1907;;The National Library of Wales is founded at Aberystwyth.;https://en.wikipedia.org/wiki/National_Library_of_Wales;Welsh History
1911;;Prince Edward is invested as Prince of Wales at Caernarfon Castle.;https://en.wikipedia.org/wiki/Investiture_of_the_Prince_of_Wales;Welsh History
1914;;Welsh communities are deeply affected by the First World War.;https://en.wikipedia.org/wiki/Wales_in_World_War_I;Welsh History
1916;;David Lloyd George becomes the first Welsh-born prime minister of the United Kingdom.;https://en.wikipedia.org/wiki/David_Lloyd_George;Welsh History
1925;;Plaid Cymru is founded.;https://en.wikipedia.org/wiki/Plaid_Cymru;Welsh History
1936;;The Penyberth protest opposes the bombing school on the Llŷn Peninsula.;https://en.wikipedia.org/wiki/Penyberth;Welsh History
1939;;Welsh industry, ports and communities contribute to the Second World War.;https://en.wikipedia.org/wiki/Wales_in_World_War_II;Welsh History
1955;;Cardiff is officially recognised as the capital of Wales.;https://en.wikipedia.org/wiki/Cardiff;Welsh History
1957;;The Tryweryn valley is selected for flooding to create a reservoir for Liverpool.;https://en.wikipedia.org/wiki/Capel_Celyn;Welsh History
1964;;The Welsh Office is established.;https://en.wikipedia.org/wiki/Welsh_Office;Welsh History
1966;;Gwynfor Evans wins the Carmarthen by-election for Plaid Cymru.;https://en.wikipedia.org/wiki/1966_Carmarthen_by-election;Welsh History
1967;;The Welsh Language Act gives limited legal recognition to Welsh.;https://en.wikipedia.org/wiki/Welsh_Language_Act_1967;Welsh History
1969;;Prince Charles is invested as Prince of Wales at Caernarfon Castle.;https://en.wikipedia.org/wiki/Investiture_of_Charles,_Prince_of_Wales;Welsh History
1979;;A referendum rejects Welsh devolution.;https://en.wikipedia.org/wiki/1979_Welsh_devolution_referendum;Welsh History
1982;;S4C, the Welsh-language television channel, begins broadcasting.;https://en.wikipedia.org/wiki/S4C;Welsh History
1993;;The Welsh Language Act strengthens the public status of Welsh.;https://en.wikipedia.org/wiki/Welsh_Language_Act_1993;Welsh History
1997;;A referendum narrowly supports Welsh devolution.;https://en.wikipedia.org/wiki/1997_Welsh_devolution_referendum;Welsh History
12 MAY 1999;;The National Assembly for Wales opens.;https://en.wikipedia.org/wiki/Senedd;Welsh History
2006;;The Government of Wales Act increases devolved powers.;https://en.wikipedia.org/wiki/Government_of_Wales_Act_2006;Welsh History
2011;;Wales votes for greater law-making powers for the Assembly.;https://en.wikipedia.org/wiki/2011_Welsh_devolution_referendum;Welsh History
2020;;The National Assembly is renamed Senedd Cymru, the Welsh Parliament.;https://en.wikipedia.org/wiki/Senedd;Welsh History
