#date;end_date;event_text;link;category
1 JAN 1001;;Mahmud of Ghazni begins a series of raids into northern India.;https://en.wikipedia.org/wiki/Mahmud_of_Ghazni;Indian History
1025;;Mahmud of Ghazni raids the Somnath temple.;https://en.wikipedia.org/wiki/Somnath_temple;Indian History
1 JAN 1192;;Muhammad Ghori defeats Prithviraj Chauhan at the Second Battle of Tarain.;https://en.wikipedia.org/wiki/Second_Battle_of_Tarain;Indian History
1 JAN 1206;;The Delhi Sultanate begins under Qutb ud-Din Aibak.;https://en.wikipedia.org/wiki/Delhi_Sultanate;Indian History
1296;;Alauddin Khalji becomes Sultan of Delhi.;https://en.wikipedia.org/wiki/Alauddin_Khalji;Indian History
1320;;The Tughlaq dynasty takes power in Delhi.;https://en.wikipedia.org/wiki/Tughlaq_dynasty;Indian History
1 JAN 1336;;The Vijayanagara Empire is founded in southern India.;https://en.wikipedia.org/wiki/Vijayanagara_Empire;Indian History
1347;;The Bahmani Sultanate is founded in the Deccan.;https://en.wikipedia.org/wiki/Bahmani_Sultanate;Indian History
1398;;Timur sacks Delhi.;https://en.wikipedia.org/wiki/Timur%27s_invasion_of_India;Indian History
20 MAY 1498;;Vasco da Gama reaches Calicut, opening a sea route from Europe to India.;https://en.wikipedia.org/wiki/Vasco_da_Gama;Indian History
21 APR 1526;;Babur defeats Ibrahim Lodi at Panipat and founds the Mughal Empire.;https://en.wikipedia.org/wiki/First_Battle_of_Panipat;Indian History
1556;;Akbar becomes Mughal emperor.;https://en.wikipedia.org/wiki/Akbar;Indian History
1565;;The Vijayanagara Empire is defeated at Talikota.;https://en.wikipedia.org/wiki/Battle_of_Talikota;Indian History
1600;;The English East India Company is chartered.;https://en.wikipedia.org/wiki/East_India_Company;Indian History
1605;;Jahangir becomes Mughal emperor.;https://en.wikipedia.org/wiki/Jahangir;Indian History
1632;;Construction begins on the Taj Mahal.;https://en.wikipedia.org/wiki/Taj_Mahal;Indian History
1658;;Aurangzeb becomes Mughal emperor.;https://en.wikipedia.org/wiki/Aurangzeb;Indian History
1674;;Shivaji is crowned and strengthens the Maratha state.;https://en.wikipedia.org/wiki/Shivaji;Indian History
1707;;Aurangzeb dies and Mughal authority begins to weaken.;https://en.wikipedia.org/wiki/Aurangzeb;Indian History
