#date;end_date;event_text;link;category
1156;;The Privilegium Minus raises Austria to a duchy within the Holy Roman Empire.;https://en.wikipedia.org/wiki/Privilegium_Minus;Austrian History
1192;;The Babenberg rulers gain Styria, linking it closely with Austria.;https://en.wikipedia.org/wiki/History_of_Styria;Austrian History
1278;;Rudolf I defeats Ottokar II at the Battle on the Marchfeld, securing Habsburg control in Austria.;https://en.wikipedia.org/wiki/Battle_on_the_Marchfeld;Austrian History
1282;;The Habsburgs are invested with Austria and Styria.;https://en.wikipedia.org/wiki/History_of_Austria;Austrian History
1365;;The University of Vienna is founded.;https://en.wikipedia.org/wiki/University_of_Vienna;Austrian History
1438;;Albert II of Habsburg becomes King of the Romans, beginning long Habsburg influence in imperial elections.;https://en.wikipedia.org/wiki/Albert_II_of_Germany;Austrian History
1453;;Austria is raised to an archduchy.;https://en.wikipedia.org/wiki/Archduchy_of_Austria;Austrian History
1526;;Ferdinand I gains the crowns of Bohemia and Hungary after the Battle of Mohács.;https://en.wikipedia.org/wiki/Ferdinand_I,_Holy_Roman_Emperor;Austrian History
1529;;The first Ottoman siege of Vienna fails.;https://en.wikipedia.org/wiki/Siege_of_Vienna_(1529);Austrian History
1618;1648;The Thirty Years War begins in Habsburg Bohemia and devastates Central Europe.;https://en.wikipedia.org/wiki/Thirty_Years%27_War;Austrian History
1683;;The second Ottoman siege of Vienna is lifted.;https://en.wikipedia.org/wiki/Battle_of_Vienna;Austrian History
1740;;Maria Theresa begins her reign over the Habsburg lands.;https://en.wikipedia.org/wiki/Maria_Theresa;Austrian History
1756;1763;Austria fights Prussia in the Seven Years War.;https://en.wikipedia.org/wiki/Seven_Years%27_War;Austrian History
1804;;Francis II proclaims the Austrian Empire.;https://en.wikipedia.org/wiki/Austrian_Empire;Austrian History
1806;;Francis II dissolves the Holy Roman Empire.;https://en.wikipedia.org/wiki/Dissolution_of_the_Holy_Roman_Empire;Austrian History
1814;1815;The Congress of Vienna redraws Europe after the Napoleonic Wars.;https://en.wikipedia.org/wiki/Congress_of_Vienna;Austrian History
1848;;Revolutions break out across the Austrian Empire.;https://en.wikipedia.org/wiki/Revolutions_of_1848_in_the_Austrian_Empire;Austrian History
1848;;Franz Joseph becomes Emperor of Austria.;https://en.wikipedia.org/wiki/Franz_Joseph_I_of_Austria;Austrian History
1866;;Austria is defeated by Prussia at Königgrätz, ending Austrian leadership in German affairs.;https://en.wikipedia.org/wiki/Battle_of_K%C3%B6niggr%C3%A4tz;Austrian History
1867;;The Austro-Hungarian Compromise creates the Dual Monarchy.;https://en.wikipedia.org/wiki/Austro-Hungarian_Compromise_of_1867;Austrian History
1889;;Crown Prince Rudolf dies at Mayerling.;https://en.wikipedia.org/wiki/Mayerling_incident;Austrian History
1907;;Universal male suffrage is introduced for elections to the Austrian Reichsrat.;https://en.wikipedia.org/wiki/1907_Cisleithanian_legislative_election;Austrian History
28 JUN 1914;;Archduke Franz Ferdinand is assassinated in Sarajevo.;https://en.wikipedia.org/wiki/Assassination_of_Archduke_Franz_Ferdinand;Austrian History
1918;;The Habsburg monarchy collapses and the Republic of German-Austria is proclaimed.;https://en.wikipedia.org/wiki/Republic_of_German-Austria;Austrian History
1919;;The Treaty of Saint-Germain defines post-war Austria.;https://en.wikipedia.org/wiki/Treaty_of_Saint-Germain-en-Laye_(1919);Austrian History
1934;;Austrian Chancellor Engelbert Dollfuss is assassinated during a Nazi coup attempt.;https://en.wikipedia.org/wiki/July_Putsch;Austrian History
1938;;Nazi Germany annexes Austria in the Anschluss.;https://en.wikipedia.org/wiki/Anschluss;Austrian History
1945;;Austria is liberated and occupied by Allied powers after the Second World War.;https://en.wikipedia.org/wiki/Allied-occupied_Austria;Austrian History
1955;;The Austrian State Treaty restores Austrian sovereignty and Austria declares permanent neutrality.;https://en.wikipedia.org/wiki/Austrian_State_Treaty;Austrian History
1995;;Austria joins the European Union.;https://en.wikipedia.org/wiki/1995_enlargement_of_the_European_Union;Austrian History
2002;;Austria adopts the euro as physical currency.;https://en.wikipedia.org/wiki/Euro;Austrian History
