#date;end_date;event_text;link;category
1000;;Stephen I is crowned first king of Hungary.;https://en.wikipedia.org/wiki/Stephen_I_of_Hungary;Hungarian History
1222;;The Golden Bull of 1222 limits royal power and confirms noble privileges.;https://en.wikipedia.org/wiki/Golden_Bull_of_1222;Hungarian History
1241;1242;The Mongol invasion devastates the Kingdom of Hungary.;https://en.wikipedia.org/wiki/First_Mongol_invasion_of_Hungary;Hungarian History
1301;;The Árpád dynasty ends in Hungary.;https://en.wikipedia.org/wiki/%C3%81rp%C3%A1d_dynasty;Hungarian History
1458;;Matthias Corvinus becomes king of Hungary.;https://en.wikipedia.org/wiki/Matthias_Corvinus;Hungarian History
29 AUG 1526;;Hungary is defeated by the Ottoman Empire at the Battle of Mohács.;https://en.wikipedia.org/wiki/Battle_of_Moh%C3%A1cs;Hungarian History
1541;;Buda falls to the Ottomans and Hungary is divided into three main parts.;https://en.wikipedia.org/wiki/Ottoman_Hungary;Hungarian History
1686;;Buda is recaptured from the Ottomans by the Holy League.;https://en.wikipedia.org/wiki/Siege_of_Buda_(1686);Hungarian History
1703;1711;Rákóczi's War of Independence challenges Habsburg rule.;https://en.wikipedia.org/wiki/R%C3%A1k%C3%B3czi%27s_War_of_Independence;Hungarian History
1723;;The Hungarian Diet accepts the Pragmatic Sanction, recognising Habsburg succession through the female line.;https://en.wikipedia.org/wiki/Pragmatic_Sanction_of_1713;Hungarian History
15 MAR 1848;;The Hungarian Revolution of 1848 begins in Pest.;https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1848;Hungarian History
1849;;Hungarian revolutionary forces surrender at Világos.;https://en.wikipedia.org/wiki/Surrender_at_Vil%C3%A1gos;Hungarian History
1867;;The Austro-Hungarian Compromise gives Hungary self-government within the Dual Monarchy.;https://en.wikipedia.org/wiki/Austro-Hungarian_Compromise_of_1867;Hungarian History
1873;;Buda, Pest and Óbuda unite to form Budapest.;https://en.wikipedia.org/wiki/Budapest;Hungarian History
1896;;Hungary celebrates its millennium with major events and construction in Budapest.;https://en.wikipedia.org/wiki/Hungarian_Millennium_Celebrations;Hungarian History
1914;1918;Hungary fights in the First World War as part of Austria-Hungary.;https://en.wikipedia.org/wiki/Hungary_in_World_War_I;Hungarian History
1918;;The Aster Revolution ends Habsburg rule in Hungary.;https://en.wikipedia.org/wiki/Aster_Revolution;Hungarian History
1919;;The Hungarian Soviet Republic briefly takes power.;https://en.wikipedia.org/wiki/Hungarian_Soviet_Republic;Hungarian History
4 JUN 1920;;The Treaty of Trianon redraws Hungary's borders.;https://en.wikipedia.org/wiki/Treaty_of_Trianon;Hungarian History
1944;;Germany occupies Hungary during the Second World War.;https://en.wikipedia.org/wiki/Operation_Margarethe;Hungarian History
1945;;The Siege of Budapest ends after heavy fighting.;https://en.wikipedia.org/wiki/Siege_of_Budapest;Hungarian History
1949;;The Hungarian People's Republic is proclaimed.;https://en.wikipedia.org/wiki/Hungarian_People%27s_Republic;Hungarian History
23 OCT 1956;;The Hungarian Revolution begins in Budapest.;https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956;Hungarian History
1989;;Hungary becomes a democratic republic as communist rule ends.;https://en.wikipedia.org/wiki/End_of_communism_in_Hungary;Hungarian History
2004;;Hungary joins the European Union.;https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union;Hungarian History
