#date;end_date;event_text;link;category
23 APR 1014;;Brian Boru is killed after the Battle of Clontarf.;https://en.wikipedia.org/wiki/Battle_of_Clontarf;Irish History
1 MAY 1169;;Anglo-Norman forces arrive in Ireland, beginning a new phase of conquest and settlement.;https://en.wikipedia.org/wiki/Norman_invasion_of_Ireland;Irish History
17 OCT 1171;;Henry II lands in Ireland and asserts English royal authority.;https://en.wikipedia.org/wiki/Norman_invasion_of_Ireland;Irish History
20 JUN 1210;;King John campaigns in Ireland and strengthens royal administration.;https://en.wikipedia.org/wiki/History_of_Ireland_(1169–1536);Irish History
1297;;The first Irish parliament of the Lordship of Ireland is established.;https://en.wikipedia.org/wiki/Parliament_of_Ireland;Irish History
26 MAY 1315;;Edward Bruce lands in Ireland, beginning a campaign against English power.;https://en.wikipedia.org/wiki/Bruce_campaign_in_Ireland;Irish History
1348;;The Black Death reaches Ireland.;https://en.wikipedia.org/wiki/Black_Death_in_Ireland;Irish History
1 FEB 1366;;The Statutes of Kilkenny try to separate English settlers from Gaelic Irish society.;https://en.wikipedia.org/wiki/Statutes_of_Kilkenny;Irish History
1 DEC 1494;;Poynings Law increases English control over the Irish parliament.;https://en.wikipedia.org/wiki/Poynings_Law;Irish History
11 JUN 1534;;Silken Thomas publicly renounces allegiance to Henry VIII, beginning the Kildare rebellion.;https://en.wikipedia.org/wiki/Silken_Thomas;Irish History
18 JUN 1541;;Henry VIII is declared King of Ireland.;https://en.wikipedia.org/wiki/Crown_of_Ireland_Act_1542;Irish History
1556;;The plantation of Laois and Offaly begins under Mary I.;https://en.wikipedia.org/wiki/Plantations_of_Ireland;Irish History
1 JUN 1569;;The First Desmond Rebellion begins in Munster.;https://en.wikipedia.org/wiki/First_Desmond_Rebellion;Irish History
17 JUL 1579;;The Second Desmond Rebellion begins and later ends with major confiscations in Munster.;https://en.wikipedia.org/wiki/Second_Desmond_Rebellion;Irish History
1 FEB 1594;;The Nine Years War begins between Gaelic Irish lords and English government forces.;https://en.wikipedia.org/wiki/Nine_Years_War_(Ireland);Irish History
1601;;Irish and Spanish forces are defeated at the Battle of Kinsale.;https://en.wikipedia.org/wiki/Siege_of_Kinsale;Irish History
14 SEP 1607;;The Flight of the Earls removes key Gaelic leaders from Ireland.;https://en.wikipedia.org/wiki/Flight_of_the_Earls;Irish History
1 JAN 1609;;The Plantation of Ulster begins.;https://en.wikipedia.org/wiki/Plantation_of_Ulster;Irish History
1641;;The Irish Rebellion of 1641 begins.;https://en.wikipedia.org/wiki/Irish_Rebellion_of_1641;Irish History
1649;;Cromwell’s campaign in Ireland leads to widespread destruction and land confiscation.;https://en.wikipedia.org/wiki/Cromwellian_conquest_of_Ireland;Irish History
1662;;The Act of Settlement redistributes land after the wars of the seventeenth century.;https://en.wikipedia.org/wiki/Act_of_Settlement_1662;Irish History
12 MAR 1689;;The Williamite War in Ireland begins after James II lands at Kinsale.;https://en.wikipedia.org/wiki/Williamite_War_in_Ireland;Irish History
1690;;William III defeats James II at the Battle of the Boyne.;https://en.wikipedia.org/wiki/Battle_of_the_Boyne;Irish History
1691;;The Treaty of Limerick ends the Williamite War in Ireland.;https://en.wikipedia.org/wiki/Treaty_of_Limerick;Irish History
1695;;Penal laws begin restricting Catholic civil and political rights.;https://en.wikipedia.org/wiki/Penal_Laws_(Ireland);Irish History
1729;;Jonathan Swift publishes A Modest Proposal.;https://en.wikipedia.org/wiki/A_Modest_Proposal;Irish History
1740;;The Great Frost and famine cause severe hardship across Ireland.;https://en.wikipedia.org/wiki/Great_Frost_of_1740;Irish History
1782;;Grattan’s Parliament gains legislative independence for Ireland.;https://en.wikipedia.org/wiki/Constitution_of_1782;Irish History
1791;;The Society of United Irishmen is founded in Belfast.;https://en.wikipedia.org/wiki/Society_of_United_Irishmen;Irish History
1798;;The Irish Rebellion of 1798 is suppressed.;https://en.wikipedia.org/wiki/Irish_Rebellion_of_1798;Irish History
1 JAN 1801;;The Acts of Union create the United Kingdom of Great Britain and Ireland.;https://en.wikipedia.org/wiki/Acts_of_Union_1800;Irish History
1803;;Robert Emmet leads a failed rebellion in Dublin.;https://en.wikipedia.org/wiki/Robert_Emmet;Irish History
1823;;Daniel O’Connell founds the Catholic Association.;https://en.wikipedia.org/wiki/Catholic_Association;Irish History
13 APR 1829;;Catholic Emancipation allows Catholics to sit in parliament.;https://en.wikipedia.org/wiki/Roman_Catholic_Relief_Act_1829;Irish History
1831;;The Tithe War protests compulsory payments to the Church of Ireland.;https://en.wikipedia.org/wiki/Tithe_War;Irish History
1 SEP 1845;;Potato blight is reported in Ireland, beginning the Great Famine period.;https://en.wikipedia.org/wiki/Great_Famine_(Ireland);Irish History
1848;;The Young Ireland rebellion takes place during famine and political unrest.;https://en.wikipedia.org/wiki/Young_Irelander_Rebellion_of_1848;Irish History
1858;;The Irish Republican Brotherhood is founded.;https://en.wikipedia.org/wiki/Irish_Republican_Brotherhood;Irish History
1867;;The Fenian Rising is suppressed.;https://en.wikipedia.org/wiki/Fenian_Rising;Irish History
1870;;The Home Government Association begins organised Home Rule campaigning.;https://en.wikipedia.org/wiki/Home_Rule_League;Irish History
1879;;The Irish National Land League is founded.;https://en.wikipedia.org/wiki/Irish_National_Land_League;Irish History
1882;;The Phoenix Park murders shock Irish and British politics.;https://en.wikipedia.org/wiki/Phoenix_Park_Murders;Irish History
1886;;The first Home Rule Bill is defeated in the House of Commons.;https://en.wikipedia.org/wiki/Government_of_Ireland_Bill_1886;Irish History
1893;;The second Home Rule Bill passes the Commons but is rejected by the Lords.;https://en.wikipedia.org/wiki/Government_of_Ireland_Bill_1893;Irish History
1905;;Sinn Féin is founded.;https://en.wikipedia.org/wiki/Sinn_Féin;Irish History
1912;;The third Home Rule Bill triggers unionist resistance in Ulster.;https://en.wikipedia.org/wiki/Government_of_Ireland_Act_1914;Irish History
1913;;The Dublin Lock-out becomes a major labour conflict.;https://en.wikipedia.org/wiki/Dublin_lock-out;Irish History
1914;;The First World War affects Ireland through enlistment, politics and economic change.;https://en.wikipedia.org/wiki/Ireland_and_World_War_I;Irish History
24 APR 1916;;The Easter Rising is launched in Dublin and other locations.;https://en.wikipedia.org/wiki/Easter_Rising;Irish History
1918;;Sinn Féin wins most Irish seats in the general election.;https://en.wikipedia.org/wiki/1918_Irish_general_election;Irish History
21 JAN 1919;;The Irish War of Independence is fought.;https://en.wikipedia.org/wiki/Irish_War_of_Independence;Irish History
1920;;The Government of Ireland Act partitions the island into Northern Ireland and Southern Ireland.;https://en.wikipedia.org/wiki/Government_of_Ireland_Act_1920;Irish History
1921;;The Anglo-Irish Treaty is signed.;https://en.wikipedia.org/wiki/Anglo-Irish_Treaty;Irish History
6 DEC 1922;;The Irish Free State is established.;https://en.wikipedia.org/wiki/Irish_Free_State;Irish History
28 JUN 1922;;The Irish Civil War is fought over the Anglo-Irish Treaty.;https://en.wikipedia.org/wiki/Irish_Civil_War;Irish History
1932;;Éamon de Valera becomes head of government.;https://en.wikipedia.org/wiki/Éamon_de_Valera;Irish History
1937;;A new constitution creates the state of Ireland, Éire.;https://en.wikipedia.org/wiki/Constitution_of_Ireland;Irish History
2 SEP 1939;;Ireland declares a state of emergency and remains neutral during the Second World War.;https://en.wikipedia.org/wiki/The_Emergency_(Ireland);Irish History
18 APR 1949;;Ireland becomes a republic and leaves the British Commonwealth.;https://en.wikipedia.org/wiki/Republic_of_Ireland_Act_1948;Irish History
1955;;Ireland joins the United Nations.;https://en.wikipedia.org/wiki/Ireland_and_the_United_Nations;Irish History
1958;;The Programme for Economic Expansion begins a shift in economic policy.;https://en.wikipedia.org/wiki/First_Programme_for_Economic_Expansion;Irish History
1969;;Violence in Northern Ireland marks the beginning of the Troubles.;https://en.wikipedia.org/wiki/The_Troubles;Irish History
1973;;Ireland joins the European Economic Community.;https://en.wikipedia.org/wiki/1973_enlargement_of_the_European_Communities;Irish History
1974;;The Dublin and Monaghan bombings kill 34 people.;https://en.wikipedia.org/wiki/Dublin_and_Monaghan_bombings;Irish History
1985;;The Anglo-Irish Agreement gives the Irish government an advisory role in Northern Ireland affairs.;https://en.wikipedia.org/wiki/Anglo-Irish_Agreement;Irish History
1990;;Mary Robinson is elected President of Ireland.;https://en.wikipedia.org/wiki/Mary_Robinson;Irish History
1993;;Homosexuality is decriminalised in Ireland.;https://en.wikipedia.org/wiki/LGBT_rights_in_the_Republic_of_Ireland;Irish History
1995;;Ireland votes to allow divorce by referendum.;https://en.wikipedia.org/wiki/Fifteenth_Amendment_of_the_Constitution_of_Ireland;Irish History
10 APR 1998;;The Good Friday Agreement is signed.;https://en.wikipedia.org/wiki/Good_Friday_Agreement;Irish History
2002;;Ireland adopts the euro as physical currency.;https://en.wikipedia.org/wiki/Republic_of_Ireland_and_the_euro;Irish History
