#date;end_date;event_text;link;category
1054;;The East-West Schism divides Eastern and Western Christianity.;https://en.wikipedia.org/wiki/East%E2%80%93West_Schism;European History
1096;1099;The First Crusade brings large European armies to the eastern Mediterranean.;https://en.wikipedia.org/wiki/First_Crusade;European History
1215;;Magna Carta is sealed in England and influences later constitutional ideas.;https://en.wikipedia.org/wiki/Magna_Carta;European History
1347;1351;The Black Death kills a large share of Europe's population.;https://en.wikipedia.org/wiki/Black_Death;European History
1453;;Constantinople falls to the Ottoman Empire.;https://en.wikipedia.org/wiki/Fall_of_Constantinople;European History
1517;;Martin Luther's Ninety-five Theses help begin the Protestant Reformation.;https://en.wikipedia.org/wiki/Ninety-five_Theses;European History
1618;1648;The Thirty Years War devastates much of Central Europe.;https://en.wikipedia.org/wiki/Thirty_Years%27_War;European History
1648;;The Peace of Westphalia ends the Thirty Years War.;https://en.wikipedia.org/wiki/Peace_of_Westphalia;European History
1683;;Ottoman forces are defeated at Vienna.;https://en.wikipedia.org/wiki/Battle_of_Vienna;European History
1701;1714;The War of the Spanish Succession reshapes European power politics.;https://en.wikipedia.org/wiki/War_of_the_Spanish_Succession;European History
1789;;The French Revolution begins.;https://en.wikipedia.org/wiki/French_Revolution;European History
1803;1815;The Napoleonic Wars transform Europe.;https://en.wikipedia.org/wiki/Napoleonic_Wars;European History
1814;1815;The Congress of Vienna redraws the European order.;https://en.wikipedia.org/wiki/Congress_of_Vienna;European History
1848;;Revolutions spread across Europe.;https://en.wikipedia.org/wiki/Revolutions_of_1848;European History
1871;;The German Empire is proclaimed at Versailles.;https://en.wikipedia.org/wiki/Unification_of_Germany;European History
1914;1918;The First World War is fought across Europe and beyond.;https://en.wikipedia.org/wiki/World_War_I;European History
1919;;The Treaty of Versailles is signed after the First World War.;https://en.wikipedia.org/wiki/Treaty_of_Versailles;European History
1939;1945;The Second World War devastates Europe.;https://en.wikipedia.org/wiki/World_War_II;European History
1945;;The United Nations is founded after the Second World War.;https://en.wikipedia.org/wiki/United_Nations;European History
1949;;NATO is founded.;https://en.wikipedia.org/wiki/NATO;European History
1951;;The Treaty of Paris creates the European Coal and Steel Community.;https://en.wikipedia.org/wiki/Treaty_of_Paris_(1951);European History
1957;;The Treaty of Rome creates the European Economic Community.;https://en.wikipedia.org/wiki/Treaty_of_Rome;European History
1961;;The Berlin Wall is built.;https://en.wikipedia.org/wiki/Berlin_Wall;European History
1989;;The Berlin Wall falls.;https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall;European History
1992;;The Maastricht Treaty is signed, creating the European Union.;https://en.wikipedia.org/wiki/Maastricht_Treaty;European History
2004;;Ten countries join the European Union in its largest enlargement.;https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union;European History
