#date;end_date;event_text;link;category
1 JAN 1091;;Count Roger I of Sicily captures Malta from Muslim rule.;https://en.wikipedia.org/wiki/Norman_invasion_of_Malta;Maltese History
1194;;Malta becomes part of the Hohenstaufen Kingdom of Sicily.;https://en.wikipedia.org/wiki/History_of_Malta;Maltese History
1282;;The Sicilian Vespers changes the political setting of Malta within the Sicilian realm.;https://en.wikipedia.org/wiki/Sicilian_Vespers;Maltese History
1426;;Maltese forces resist a Hafsid raid after the Battle of Malta.;https://en.wikipedia.org/wiki/Battle_of_Malta_(1429);Maltese History
24 MAR 1530;;Charles V grants Malta to the Order of St John.;https://en.wikipedia.org/wiki/Knights_Hospitaller;Maltese History
8 SEP 1565;;The Great Siege of Malta ends with victory for the Knights of St John.;https://en.wikipedia.org/wiki/Great_Siege_of_Malta;Maltese History
28 MAR 1566;;Valletta is founded after the Great Siege.;https://en.wikipedia.org/wiki/Valletta;Maltese History
1571;;The Order of St John moves its convent to Valletta.;https://en.wikipedia.org/wiki/Valletta;Maltese History
1592;;A plague outbreak strikes Malta.;https://en.wikipedia.org/wiki/1592–1593_Malta_plague_epidemic;Maltese History
1634;;Construction begins on the Floriana Lines to strengthen Valletta’s defences.;https://en.wikipedia.org/wiki/Floriana_Lines;Maltese History
24 DEC 1675;;A major plague epidemic begins in Malta.;https://en.wikipedia.org/wiki/1675–1676_Malta_plague_epidemic;Maltese History
10 JUN 1798;;Napoleon captures Malta on his way to Egypt.;https://en.wikipedia.org/wiki/French_occupation_of_Malta;Maltese History
2 SEP 1798;;The Maltese uprising against French rule begins, leading to blockade and eventual French surrender.;https://en.wikipedia.org/wiki/Siege_of_Malta_(1798–1800);Maltese History
5 SEP 1800;;Malta becomes a British protectorate after the French surrender.;https://en.wikipedia.org/wiki/Malta_Protectorate;Maltese History
30 MAY 1814;;The Treaty of Paris confirms Malta as a British colony.;https://en.wikipedia.org/wiki/Crown_Colony_of_Malta;Maltese History
1835;;The Council of Government is established.;https://en.wikipedia.org/wiki/History_of_Malta_under_the_British;Maltese History
1849;;Malta receives a partly elected Council of Government.;https://en.wikipedia.org/wiki/History_of_Malta_under_the_British;Maltese History
1869;;The opening of the Suez Canal increases Malta’s strategic importance.;https://en.wikipedia.org/wiki/Suez_Canal;Maltese History
28 FEB 1883;;The Malta Railway opens between Valletta and Mdina.;https://en.wikipedia.org/wiki/Malta_Railway;Maltese History
7 JUN 1919;;The Sette Giugno riots occur in Valletta.;https://en.wikipedia.org/wiki/Sette_Giugno;Maltese History
1 NOV 1921;;Malta receives self-government under a new constitution.;https://en.wikipedia.org/wiki/1921_Malta_Constitution;Maltese History
11 JUN 1940;;The first Axis air raid on Malta begins a period of heavy bombing during the Second World War.;https://en.wikipedia.org/wiki/Siege_of_Malta_(World_War_II);Maltese History
15 APR 1942;;King George VI awards the George Cross to Malta.;https://en.wikipedia.org/wiki/George_Cross;Maltese History
1947;;Malta receives a new constitution and restored self-government.;https://en.wikipedia.org/wiki/History_of_Malta_under_the_British;Maltese History
1956;;A referendum supports integration with the United Kingdom but the plan is not implemented.;https://en.wikipedia.org/wiki/1956_Maltese_United_Kingdom_integration_referendum;Maltese History
21 SEP 1964;;Malta becomes independent from Britain.;https://en.wikipedia.org/wiki/Independence_of_Malta;Maltese History
13 DEC 1974;;Malta becomes a republic.;https://en.wikipedia.org/wiki/Republic_Day_(Malta);Maltese History
31 MAR 1979;;British military forces leave Malta on Freedom Day.;https://en.wikipedia.org/wiki/Freedom_Day_(Malta);Maltese History
1987;;Constitutional amendments strengthen parliamentary electoral rules.;https://en.wikipedia.org/wiki/Constitution_of_Malta;Maltese History
1990;;Malta applies to join the European Communities.;https://en.wikipedia.org/wiki/Malta_and_the_European_Union;Maltese History
2003;;Malta votes to join the European Union.;https://en.wikipedia.org/wiki/2003_Maltese_European_Union_membership_referendum;Maltese History
1 MAY 2004;;Malta joins the European Union.;https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union;Maltese History
1 JAN 2008;;Malta adopts the euro.;https://en.wikipedia.org/wiki/Malta_and_the_euro;Maltese History
2011;;Malta votes to allow divorce.;https://en.wikipedia.org/wiki/2011_Maltese_divorce_referendum;Maltese History
16 OCT 2017;;Journalist Daphne Caruana Galizia is assassinated.;https://en.wikipedia.org/wiki/Daphne_Caruana_Galizia;Maltese History
2020;;The COVID-19 pandemic affects Malta.;https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Malta;Maltese History
