#date;end_date;event_text;link;category
2 JUN 1122;;Utrecht receives city rights and grows as a religious and trading centre.;https://en.wikipedia.org/wiki/Utrecht;Netherlands History
1229;;Den Bosch receives city rights in Brabant.;https://en.wikipedia.org/wiki/s-Hertogenbosch;Netherlands History
1256;;William II of Holland is killed during conflict with the West Frisians.;https://en.wikipedia.org/wiki/William_II_of_Holland;Netherlands History
27 OCT 1275;;Amsterdam is first mentioned in a toll document.;https://en.wikipedia.org/wiki/Amsterdam;Netherlands History
14 DEC 1287;;The St Lucia flood causes major flooding and enlarges the Zuiderzee.;https://en.wikipedia.org/wiki/St._Lucia%27s_flood;Netherlands History
27 JUN 1296;;Count Floris V of Holland is murdered by nobles.;https://en.wikipedia.org/wiki/Floris_V,_Count_of_Holland;Netherlands History
26 SEP 1345;;Holland is defeated by the Frisians at the Battle of Warns.;https://en.wikipedia.org/wiki/Battle_of_Warns;Netherlands History
1369;;Burgundian influence in the Low Countries grows through dynastic marriage.;https://en.wikipedia.org/wiki/Burgundian_Netherlands;Netherlands History
19 NOV 1421;;The St Elizabeth flood inundates parts of Holland and Zeeland.;https://en.wikipedia.org/wiki/St._Elizabeths_flood_(1421);Netherlands History
1433;;Holland and Zeeland come under Burgundian rule.;https://en.wikipedia.org/wiki/Burgundian_Netherlands;Netherlands History
11 FEB 1477;;Mary of Burgundy grants the Great Privilege to the provinces of the Low Countries.;https://en.wikipedia.org/wiki/Great_Privilege;Netherlands History
1506;;Charles of Habsburg inherits the Burgundian Netherlands.;https://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor;Netherlands History
1517;;Charles becomes King of Spain, linking the Netherlands to the wider Habsburg empire.;https://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor;Netherlands History
1548;;The Seventeen Provinces are organised within the Burgundian Circle.;https://en.wikipedia.org/wiki/Seventeen_Provinces;Netherlands History
1555;;Philip II inherits the Netherlands from Charles V.;https://en.wikipedia.org/wiki/Philip_II_of_Spain;Netherlands History
10 AUG 1566;;The Beeldenstorm iconoclastic riots spread through the Netherlands.;https://en.wikipedia.org/wiki/Beeldenstorm;Netherlands History
23 MAY 1568;;The Battle of Heiligerlee marks the opening of the Eighty Years War.;https://en.wikipedia.org/wiki/Eighty_Years_War;Netherlands History
1 APR 1572;;The Sea Beggars capture Brielle, boosting the Dutch Revolt.;https://en.wikipedia.org/wiki/Capture_of_Brielle;Netherlands History
23 JAN 1579;;The Union of Utrecht forms a defensive alliance of northern provinces.;https://en.wikipedia.org/wiki/Union_of_Utrecht;Netherlands History
26 JUL 1581;;The Act of Abjuration declares independence from Philip II.;https://en.wikipedia.org/wiki/Act_of_Abjuration;Netherlands History
