#date;end_date;event_text;link;category
1004;;The Song dynasty and Liao dynasty agree to the Chanyuan Treaty.;https://en.wikipedia.org/wiki/Chanyuan_Treaty;Chinese History
1038;;The Western Xia state is proclaimed in northwest China.;https://en.wikipedia.org/wiki/Western_Xia;Chinese History
1044;;The Wujing Zongyao records early gunpowder formulas and military technology.;https://en.wikipedia.org/wiki/Wujing_Zongyao;Chinese History
1069;;Wang Anshi begins major reforms under the Song dynasty.;https://en.wikipedia.org/wiki/Wang_Anshi;Chinese History
1127;;The Jingkang Incident ends the Northern Song and begins the Southern Song.;https://en.wikipedia.org/wiki/Jingkang_Incident;Chinese History
1142;;The Treaty of Shaoxing defines relations between Southern Song and Jin.;https://en.wikipedia.org/wiki/Treaty_of_Shaoxing;Chinese History
1206;;Temujin is proclaimed Genghis Khan, founding the Mongol Empire.;https://en.wikipedia.org/wiki/Genghis_Khan;Chinese History
1234;;The Mongols destroy the Jin dynasty.;https://en.wikipedia.org/wiki/Mongol_conquest_of_the_Jin_dynasty;Chinese History
1271;;Kublai Khan proclaims the Yuan dynasty.;https://en.wikipedia.org/wiki/Yuan_dynasty;Chinese History
1279;;The Yuan defeat the Southern Song at Yamen, completing conquest of China.;https://en.wikipedia.org/wiki/Battle_of_Yamen;Chinese History
1294;;Kublai Khan dies after establishing Mongol rule over China.;https://en.wikipedia.org/wiki/Kublai_Khan;Chinese History
1351;;The Red Turban Rebellion begins against Yuan rule.;https://en.wikipedia.org/wiki/Red_Turban_Rebellion;Chinese History
1368;;Zhu Yuanzhang founds the Ming dynasty and drives Yuan rulers from Dadu.;https://en.wikipedia.org/wiki/Ming_dynasty;Chinese History
11 JUL 1405;;Zheng He’s first voyage leaves China, beginning seven major maritime expeditions.;https://en.wikipedia.org/wiki/Ming_treasure_voyages;Chinese History
1421;;The Ming capital moves to Beijing.;https://en.wikipedia.org/wiki/History_of_Beijing;Chinese History
1449;;The Tumu Crisis weakens Ming military prestige.;https://en.wikipedia.org/wiki/Tumu_Crisis;Chinese History
1550;;Altan Khan raids near Beijing during Ming-Mongol conflict.;https://en.wikipedia.org/wiki/Altan_Khan;Chinese History
1557;;Portugal establishes a permanent settlement at Macau.;https://en.wikipedia.org/wiki/Macau;Chinese History
1582;;Matteo Ricci begins mission work in China.;https://en.wikipedia.org/wiki/Matteo_Ricci;Chinese History
23 MAY 1592;;Japanese forces invade Korea, leading Ming China to intervene during the Imjin War.;https://en.wikipedia.org/wiki/Japanese_invasions_of_Korea_(1592–1598);Chinese History
1601;;Matteo Ricci enters Beijing and builds influence at court.;https://en.wikipedia.org/wiki/Matteo_Ricci;Chinese History
1616;;Nurhaci proclaims the Later Jin state.;https://en.wikipedia.org/wiki/Nurhaci;Chinese History
1644;;The Ming dynasty falls and the Qing dynasty takes Beijing.;https://en.wikipedia.org/wiki/Transition_from_Ming_to_Qing;Chinese History
1661;;Koxinga captures Taiwan from the Dutch.;https://en.wikipedia.org/wiki/Koxinga;Chinese History
1683;;Qing forces take Taiwan from the Zheng kingdom.;https://en.wikipedia.org/wiki/Qing_conquest_of_Taiwan;Chinese History
1689;;The Treaty of Nerchinsk defines a border with Russia.;https://en.wikipedia.org/wiki/Treaty_of_Nerchinsk;Chinese History
1720;;Qing forces enter Tibet and establish greater influence there.;https://en.wikipedia.org/wiki/Qing_expedition_to_Tibet_(1720);Chinese History
1757;;The Canton System restricts European trade to Guangzhou.;https://en.wikipedia.org/wiki/Canton_System;Chinese History
1793;;The Macartney Embassy seeks expanded British trade with China.;https://en.wikipedia.org/wiki/Macartney_Embassy;Chinese History
4 SEP 1839;;Armed conflict near Kowloon marks the opening phase of the First Opium War.;https://en.wikipedia.org/wiki/First_Opium_War;Chinese History
1842;;The Treaty of Nanking cedes Hong Kong to Britain and opens treaty ports.;https://en.wikipedia.org/wiki/Treaty_of_Nanking;Chinese History
11 JAN 1851;;Hong Xiuquan proclaims the Taiping Heavenly Kingdom, beginning the Taiping Rebellion.;https://en.wikipedia.org/wiki/Taiping_Rebellion;Chinese History
8 OCT 1856;;The Arrow incident triggers the crisis that leads into the Second Opium War.;https://en.wikipedia.org/wiki/Second_Opium_War;Chinese History
1861;;The Self-Strengthening Movement attempts military and industrial reform.;https://en.wikipedia.org/wiki/Self-Strengthening_Movement;Chinese History
1894;;China is defeated by Japan in the First Sino-Japanese War.;https://en.wikipedia.org/wiki/First_Sino-Japanese_War;Chinese History
1898;;The Hundred Days Reform attempts rapid institutional reform.;https://en.wikipedia.org/wiki/Hundred_Days_Reform;Chinese History
2 NOV 1899;;Boxer attacks on Christians in Shandong mark the opening phase of the Boxer Rebellion.;https://en.wikipedia.org/wiki/Boxer_Rebellion;Chinese History
10 OCT 1911;;The Xinhai Revolution begins and leads to the fall of the Qing.;https://en.wikipedia.org/wiki/1911_Revolution;Chinese History
1912;;The Republic of China is established.;https://en.wikipedia.org/wiki/Republic_of_China_(1912–1949);Chinese History
1916;;Yuan Shikai dies and the Warlord Era intensifies.;https://en.wikipedia.org/wiki/Warlord_Era;Chinese History
4 MAY 1919;;The May Fourth Movement protests foreign concessions and sparks cultural change.;https://en.wikipedia.org/wiki/May_Fourth_Movement;Chinese History
23 JUL 1921;;The Chinese Communist Party is founded in Shanghai.;https://en.wikipedia.org/wiki/Chinese_Communist_Party;Chinese History
