#date;end_date;event_text;link;category
1002;;Henry II becomes king of East Francia and later Holy Roman Emperor.;https://en.wikipedia.org/wiki/Henry_II,_Holy_Roman_Emperor;German History
1024;;Conrad II begins the Salian dynasty.;https://en.wikipedia.org/wiki/Conrad_II,_Holy_Roman_Emperor;German History
25 JAN 1077;;Henry IV performs the Walk to Canossa during conflict with Pope Gregory VII.;https://en.wikipedia.org/wiki/Walk_to_Canossa;German History
1122;;The Concordat of Worms helps settle the Investiture Controversy.;https://en.wikipedia.org/wiki/Concordat_of_Worms;German History
1152;;Frederick Barbarossa becomes king of Germany.;https://en.wikipedia.org/wiki/Frederick_Barbarossa;German History
1180;;Henry the Lion is outlawed and his duchies are broken up.;https://en.wikipedia.org/wiki/Henry_the_Lion;German History
1190;;Frederick Barbarossa dies during the Third Crusade.;https://en.wikipedia.org/wiki/Frederick_Barbarossa;German History
1220;;Frederick II issues the Confoederatio cum principibus ecclesiasticis, strengthening church princes.;https://en.wikipedia.org/wiki/Confoederatio_cum_principibus_ecclesiasticis;German History
1254;;The Rhenish League forms to protect trade and peace along the Rhine.;https://en.wikipedia.org/wiki/Rhenish_League;German History
1273;;Rudolf I of Habsburg is elected king, ending the Great Interregnum.;https://en.wikipedia.org/wiki/Rudolf_I_of_Germany;German History
1356;;The Golden Bull establishes rules for electing the Holy Roman Emperor.;https://en.wikipedia.org/wiki/Golden_Bull_of_1356;German History
1410;;Sigismund becomes king of the Romans.;https://en.wikipedia.org/wiki/Sigismund,_Holy_Roman_Emperor;German History
5 NOV 1414;;The Council of Constance opens and later ends the Western Schism.;https://en.wikipedia.org/wiki/Council_of_Constance;German History
1450;;Johannes Gutenberg’s movable-type printing develops in Mainz.;https://en.wikipedia.org/wiki/Johannes_Gutenberg;German History
31 OCT 1517;;Martin Luther publishes his Ninety-five Theses at Wittenberg.;https://en.wikipedia.org/wiki/Ninety-five_Theses;German History
1521;;Luther appears before the Diet of Worms.;https://en.wikipedia.org/wiki/Diet_of_Worms;German History
1 JAN 1524;;The German Peasants War begins in south-western German-speaking lands.;https://en.wikipedia.org/wiki/German_Peasants_War;German History
1530;;The Augsburg Confession presents Lutheran beliefs.;https://en.wikipedia.org/wiki/Augsburg_Confession;German History
25 SEP 1555;;The Peace of Augsburg recognises Lutheranism within the empire.;https://en.wikipedia.org/wiki/Peace_of_Augsburg;German History
23 MAY 1618;;The Defenestration of Prague triggers the crisis that begins the Thirty Years War.;https://en.wikipedia.org/wiki/Thirty_Years_War;German History
24 OCT 1648;;The Peace of Westphalia ends the Thirty Years War.;https://en.wikipedia.org/wiki/Peace_of_Westphalia;German History
1701;;Frederick I crowns himself King in Prussia.;https://en.wikipedia.org/wiki/Frederick_I_of_Prussia;German History
1740;;Frederick the Great becomes King of Prussia.;https://en.wikipedia.org/wiki/Frederick_the_Great;German History
29 AUG 1756;;Frederick II invades Saxony, opening the European phase of the Seven Years War.;https://en.wikipedia.org/wiki/Seven_Years_War;German History
1806;;The Holy Roman Empire is dissolved after Napoleonic victories.;https://en.wikipedia.org/wiki/Dissolution_of_the_Holy_Roman_Empire;German History
1813;;The Battle of Leipzig defeats Napoleon’s forces in Germany.;https://en.wikipedia.org/wiki/Battle_of_Leipzig;German History
1815;;The German Confederation is created after the Congress of Vienna.;https://en.wikipedia.org/wiki/German_Confederation;German History
1834;;The Zollverein customs union begins operating.;https://en.wikipedia.org/wiki/Zollverein;German History
13 MAR 1848;;Revolutionary unrest spreads through the German states, demanding liberal reform and national unity.;https://en.wikipedia.org/wiki/German_revolutions_of_1848–1849;German History
1862;;Otto von Bismarck becomes minister-president of Prussia.;https://en.wikipedia.org/wiki/Otto_von_Bismarck;German History
1866;;Prussia defeats Austria in the Austro-Prussian War.;https://en.wikipedia.org/wiki/Austro-Prussian_War;German History
1870;;The Franco-Prussian War leads to German unification.;https://en.wikipedia.org/wiki/Franco-Prussian_War;German History
18 JAN 1871;;The German Empire is proclaimed at Versailles.;https://en.wikipedia.org/wiki/Unification_of_Germany;German History
1878;;Bismarck introduces Anti-Socialist Laws.;https://en.wikipedia.org/wiki/Anti-Socialist_Laws;German History
1883;;Germany introduces pioneering national health insurance.;https://en.wikipedia.org/wiki/Social_legislation_in_Germany;German History
1888;;The Year of the Three Emperors sees Wilhelm I, Frederick III and Wilhelm II rule in one year.;https://en.wikipedia.org/wiki/Year_of_the_Three_Emperors;German History
1890;;Bismarck resigns after conflict with Kaiser Wilhelm II.;https://en.wikipedia.org/wiki/Otto_von_Bismarck;German History
1905;;The Schlieffen Plan shapes German military planning.;https://en.wikipedia.org/wiki/Schlieffen_Plan;German History
1914;;Germany fights in the First World War.;https://en.wikipedia.org/wiki/Germany_during_World_War_I;German History
1918;;The German Revolution ends the monarchy and leads to the Weimar Republic.;https://en.wikipedia.org/wiki/German_Revolution_of_1918–1919;German History
1919;;The Treaty of Versailles imposes terms on Germany after the First World War.;https://en.wikipedia.org/wiki/Treaty_of_Versailles;German History
1923;;Hyperinflation and the Ruhr occupation destabilise the Weimar Republic.;https://en.wikipedia.org/wiki/Hyperinflation_in_the_Weimar_Republic;German History
1929;;The Great Depression severely affects Germany.;https://en.wikipedia.org/wiki/Great_Depression_in_Central_Europe;German History
30 JAN 1933;;Adolf Hitler becomes chancellor and Nazi dictatorship begins.;https://en.wikipedia.org/wiki/Adolf_Hitler;German History
1935;;The Nuremberg Laws strip German Jews of citizenship rights.;https://en.wikipedia.org/wiki/Nuremberg_Laws;German History
1938;;Kristallnacht marks a major escalation of anti-Jewish violence.;https://en.wikipedia.org/wiki/Kristallnacht;German History
1939;;Germany starts and fights the Second World War in Europe.;https://en.wikipedia.org/wiki/Nazi_Germany;German History
1941;;Germany invades the Soviet Union in Operation Barbarossa.;https://en.wikipedia.org/wiki/Operation_Barbarossa;German History
1942;;The Wannsee Conference coordinates the Holocaust.;https://en.wikipedia.org/wiki/Wannsee_Conference;German History
1945;;Germany surrenders and is divided into occupation zones.;https://en.wikipedia.org/wiki/End_of_World_War_II_in_Europe;German History
1948;;The Berlin Blockade leads to the Berlin Airlift.;https://en.wikipedia.org/wiki/Berlin_Blockade;German History
1949;;West Germany and East Germany are established.;https://en.wikipedia.org/wiki/History_of_Germany_(1945–1990);German History
1953;;The East German uprising is suppressed by Soviet forces.;https://en.wikipedia.org/wiki/East_German_uprising_of_1953;German History
1955;;West Germany joins NATO.;https://en.wikipedia.org/wiki/West_Germany;German History
1957;;West Germany becomes a founding member of the European Economic Community.;https://en.wikipedia.org/wiki/European_Economic_Community;German History
13 AUG 1961;;The Berlin Wall is built.;https://en.wikipedia.org/wiki/Berlin_Wall;German History
1963;;The Élysée Treaty formalises Franco-German cooperation.;https://en.wikipedia.org/wiki/Élysée_Treaty;German History
1969;;Willy Brandt becomes chancellor and begins Ostpolitik.;https://en.wikipedia.org/wiki/Ostpolitik;German History
1972;;Munich hosts the Olympic Games, marked by a terrorist attack on Israeli athletes.;https://en.wikipedia.org/wiki/Munich_massacre;German History
9 NOV 1989;;The Berlin Wall falls after peaceful revolution in East Germany.;https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall;German History
3 OCT 1990;;Germany is reunified.;https://en.wikipedia.org/wiki/German_reunification;German History
1991;;Berlin is chosen as the seat of government of reunified Germany.;https://en.wikipedia.org/wiki/Berlin;German History
1999;;The German government begins moving from Bonn to Berlin.;https://en.wikipedia.org/wiki/Berlin_Republic;German History
2002;;Germany adopts euro banknotes and coins.;https://en.wikipedia.org/wiki/Germany_and_the_euro;German History
2005;;Angela Merkel becomes Germany’s first female chancellor.;https://en.wikipedia.org/wiki/Angela_Merkel;German History
2015;;Germany receives large numbers of refugees during the European migrant crisis.;https://en.wikipedia.org/wiki/European_migrant_crisis;German History
2020;;The COVID-19 pandemic affects Germany.;https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Germany;German History
2021;;Olaf Scholz becomes chancellor after the federal election.;https://en.wikipedia.org/wiki/Olaf_Scholz;German History
