#date;end_date;event_text;link;category
1206;;Genghis Khan unites the Mongol tribes and founds the Mongol Empire.;https://en.wikipedia.org/wiki/Genghis_Khan;World History
1271;;Kublai Khan establishes the Yuan dynasty in China.;https://en.wikipedia.org/wiki/Yuan_dynasty;World History
1347;1351;The Black Death spreads through Europe, North Africa and western Asia.;https://en.wikipedia.org/wiki/Black_Death;World History
1453;;Constantinople falls to the Ottoman Empire.;https://en.wikipedia.org/wiki/Fall_of_Constantinople;World History
1455;;The Gutenberg Bible is produced using movable type printing in Europe.;https://en.wikipedia.org/wiki/Gutenberg_Bible;World History
1492;;Christopher Columbus's first voyage reaches the Caribbean.;https://en.wikipedia.org/wiki/Christopher_Columbus;World History
1517;;The Protestant Reformation begins in Europe.;https://en.wikipedia.org/wiki/Reformation;World History
1600;;The English East India Company is founded.;https://en.wikipedia.org/wiki/East_India_Company;World History
1776;;The United States Declaration of Independence is adopted.;https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence;World History
1789;;The French Revolution begins.;https://en.wikipedia.org/wiki/French_Revolution;World History
1804;;Haiti declares independence from France.;https://en.wikipedia.org/wiki/Haitian_Revolution;World History
1815;;Napoleon is defeated at Waterloo.;https://en.wikipedia.org/wiki/Battle_of_Waterloo;World History
1837;1901;Queen Victoria's reign coincides with major imperial and industrial change.;https://en.wikipedia.org/wiki/Queen_Victoria;World History
1861;1865;The American Civil War is fought.;https://en.wikipedia.org/wiki/American_Civil_War;World History
1869;;The Suez Canal opens.;https://en.wikipedia.org/wiki/Suez_Canal;World History
1914;1918;The First World War is fought across Europe, the Middle East, Africa and the oceans.;https://en.wikipedia.org/wiki/World_War_I;World History
1918;1919;The influenza pandemic spreads worldwide.;https://en.wikipedia.org/wiki/Spanish_flu;World History
1929;;The Wall Street crash helps trigger the Great Depression.;https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929;World History
1939;1945;The Second World War is fought across Europe, Asia, Africa and the Pacific.;https://en.wikipedia.org/wiki/World_War_II;World History
1945;;The United Nations Charter enters into force.;https://en.wikipedia.org/wiki/United_Nations_Charter;World History
1947;;India and Pakistan become independent as British India is partitioned.;https://en.wikipedia.org/wiki/Partition_of_India;World History
1949;;The People's Republic of China is proclaimed.;https://en.wikipedia.org/wiki/Proclamation_of_the_People%27s_Republic_of_China;World History
1969;;Apollo 11 lands humans on the Moon.;https://en.wikipedia.org/wiki/Apollo_11;World History
1989;;The fall of the Berlin Wall symbolises the end of the Cold War order in Europe.;https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall;World History
1991;;The Soviet Union dissolves.;https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union;World History
2001;;The September 11 attacks lead to major international political and security changes.;https://en.wikipedia.org/wiki/September_11_attacks;World History
2020;;COVID-19 is declared a pandemic by the World Health Organization.;https://en.wikipedia.org/wiki/COVID-19_pandemic;World History
