#date;end_date;event_text;link;category
14 MAY 1607;;English colonists establish Jamestown in Virginia, the first permanent English settlement in North America.;https://www.nps.gov/jame/learn/historyculture/a-short-history-of-jamestown.htm;United States History
30 JUL 1619;;The first representative legislative assembly in English North America meets at Jamestown.;https://www.nps.gov/jame/learn/historyculture/the-first-general-assembly.htm;United States History
20 AUG 1619;;The first recorded Africans arrive in English North America at Point Comfort in Virginia.;https://www.nps.gov/articles/000/jamestown-and-the-first-africans.htm;United States History
11 NOV 1620;;The Mayflower Compact is signed before the Pilgrims establish Plymouth Colony.;https://www.archives.gov/milestone-documents/mayflower-compact;United States History
8 SEP 1664;;New Amsterdam surrenders to English forces and is later renamed New York.;https://www.loc.gov/item/today-in-history/september-08/;United States History
4 MAR 1681;;King Charles II grants William Penn the charter for Pennsylvania.;https://www.phmc.pa.gov/Archives/Research-Online/Pages/William-Penn-and-the-Founding-of-Pennsylvania.aspx;United States History
10 FEB 1692;;The Salem witchcraft crisis begins in colonial Massachusetts.;https://www.smithsonianmag.com/history/a-brief-history-of-the-salem-witch-trials-175162489/;United States History
12 FEB 1733;;James Oglethorpe and settlers found the colony of Georgia at Savannah.;https://georgiahistory.com/education-outreach/online-exhibits/featured-historical-figures/james-edward-oglethorpe/founding-of-the-colony-of-georgia/;United States History
28 MAY 1754;;The French and Indian War begins with fighting near present-day Uniontown, Pennsylvania.;https://www.nps.gov/fone/learn/historyculture/french-and-indian-war.htm;United States History
10 FEB 1763;;The Treaty of Paris ends the French and Indian War and reshapes Britain’s North American empire.;https://history.state.gov/milestones/1750-1775/treaty-of-paris;United States History
22 MAR 1765;;The British Parliament passes the Stamp Act, increasing colonial opposition to imperial taxation.;https://www.history.com/articles/stamp-act;United States History
5 MAR 1770;;British soldiers fire on civilians in Boston in an event remembered as the Boston Massacre.;https://www.nps.gov/bost/learn/historyculture/boston-massacre.htm;United States History
16 DEC 1773;;Colonists protest British tea policy by dumping tea into Boston Harbour.;https://www.nps.gov/bost/learn/historyculture/faneuil-hall-boston-tea-party.htm;United States History
5 SEP 1774;;The First Continental Congress meets in Philadelphia.;https://www.loc.gov/item/today-in-history/september-05/;United States History
