#date;end_date;event_text;link;category
1002;;Bohemia is formally recognised as part of the Holy Roman Empire.;https://en.wikipedia.org/wiki/Duchy_of_Bohemia;Czech Lands History
1085;;Vratislaus II becomes the first king of Bohemia.;https://en.wikipedia.org/wiki/Vratislaus_II_of_Bohemia;Czech Lands History
1212;;The Golden Bull of Sicily confirms the royal title and privileges of Bohemia.;https://en.wikipedia.org/wiki/Golden_Bull_of_Sicily;Czech Lands History
1348;;Charles University is founded in Prague.;https://en.wikipedia.org/wiki/Charles_University;Czech Lands History
1356;;The Golden Bull recognises the King of Bohemia as an imperial elector.;https://en.wikipedia.org/wiki/Golden_Bull_of_1356;Czech Lands History
1415;;Jan Hus is executed at the Council of Constance.;https://en.wikipedia.org/wiki/Jan_Hus;Czech Lands History
1419;1434;The Hussite Wars reshape religious and political life in Bohemia.;https://en.wikipedia.org/wiki/Hussite_Wars;Czech Lands History
1526;;The Habsburgs inherit the Bohemian crown after the Battle of Mohács.;https://en.wikipedia.org/wiki/Lands_of_the_Bohemian_Crown;Czech Lands History
23 MAY 1618;;The Defenestration of Prague helps trigger the Thirty Years War.;https://en.wikipedia.org/wiki/Defenestrations_of_Prague;Czech Lands History
8 NOV 1620;;Bohemian rebels are defeated at the Battle of White Mountain.;https://en.wikipedia.org/wiki/Battle_of_White_Mountain;Czech Lands History
1740;1748;The War of the Austrian Succession brings conflict to the Bohemian lands.;https://en.wikipedia.org/wiki/War_of_the_Austrian_Succession;Czech Lands History
1848;;Revolutionary unrest reaches Prague during the European revolutions.;https://en.wikipedia.org/wiki/Prague_uprising_of_1848;Czech Lands History
1867;;The Czech lands remain in the Austrian half of Austria-Hungary after the Compromise.;https://en.wikipedia.org/wiki/Cisleithania;Czech Lands History
28 OCT 1918;;Czechoslovakia declares independence from Austria-Hungary.;https://en.wikipedia.org/wiki/Czechoslovak_declaration_of_independence;Czech Lands History
1938;;The Munich Agreement gives the Sudetenland to Nazi Germany.;https://en.wikipedia.org/wiki/Munich_Agreement;Czech Lands History
1939;;Nazi Germany occupies the Czech lands and creates the Protectorate of Bohemia and Moravia.;https://en.wikipedia.org/wiki/Protectorate_of_Bohemia_and_Moravia;Czech Lands History
1942;;Reinhard Heydrich is assassinated in Prague and Nazi reprisals follow.;https://en.wikipedia.org/wiki/Assassination_of_Reinhard_Heydrich;Czech Lands History
1945;;The Prague uprising occurs as the Second World War ends in Europe.;https://en.wikipedia.org/wiki/Prague_uprising;Czech Lands History
1948;;The Communist Party takes power in Czechoslovakia.;https://en.wikipedia.org/wiki/1948_Czechoslovak_coup_d%27%C3%A9tat;Czech Lands History
1968;;The Prague Spring is suppressed by Warsaw Pact forces.;https://en.wikipedia.org/wiki/Prague_Spring;Czech Lands History
1989;;The Velvet Revolution ends communist rule in Czechoslovakia.;https://en.wikipedia.org/wiki/Velvet_Revolution;Czech Lands History
1993;;The Czech Republic and Slovakia become separate states.;https://en.wikipedia.org/wiki/Dissolution_of_Czechoslovakia;Czech Lands History
1999;;The Czech Republic joins NATO.;https://en.wikipedia.org/wiki/1999_NATO_enlargement;Czech Lands History
2004;;The Czech Republic joins the European Union.;https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union;Czech Lands History
