#date;end_date;event_text;link;category
1005;;Malcolm II becomes King of Alba and later helps consolidate royal power.;https://en.wikipedia.org/wiki/Malcolm_II_of_Scotland;Scottish History
1040;;Macbeth becomes king after the death of Duncan I.;https://en.wikipedia.org/wiki/Macbeth,_King_of_Scotland;Scottish History
1057;;Malcolm III defeats Macbeth and later becomes king.;https://en.wikipedia.org/wiki/Malcolm_III_of_Scotland;Scottish History
1072;;William the Conqueror invades Scotland and meets Malcolm III at Abernethy.;https://en.wikipedia.org/wiki/Malcolm_III_of_Scotland;Scottish History
1124;;David I becomes king and encourages major religious and administrative reforms.;https://en.wikipedia.org/wiki/David_I_of_Scotland;Scottish History
22 AUG 1138;;Scottish forces are defeated at the Battle of the Standard.;https://en.wikipedia.org/wiki/Battle_of_the_Standard;Scottish History
9 DEC 1165;;William the Lion becomes king of Scotland.;https://en.wikipedia.org/wiki/William_the_Lion;Scottish History
13 JUL 1174;;William the Lion is captured at Alnwick and forced to accept the Treaty of Falaise.;https://en.wikipedia.org/wiki/Treaty_of_Falaise;Scottish History
5 DEC 1189;;Richard I releases Scotland from the Treaty of Falaise through the Quitclaim of Canterbury.;https://en.wikipedia.org/wiki/Quitclaim_of_Canterbury;Scottish History
6 JUL 1249;;Alexander III becomes king of Scotland.;https://en.wikipedia.org/wiki/Alexander_III_of_Scotland;Scottish History
2 OCT 1263;;The Battle of Largs checks Norwegian influence in western Scotland.;https://en.wikipedia.org/wiki/Battle_of_Largs;Scottish History
2 JUL 1266;;The Treaty of Perth transfers the Hebrides and Isle of Man from Norway to Scotland.;https://en.wikipedia.org/wiki/Treaty_of_Perth;Scottish History
19 MAR 1286;;Alexander III dies, creating a succession crisis.;https://en.wikipedia.org/wiki/Alexander_III_of_Scotland;Scottish History
26 SEP 1290;;Margaret, Maid of Norway dies, leaving the Scottish throne disputed.;https://en.wikipedia.org/wiki/Margaret,_Maid_of_Norway;Scottish History
30 MAR 1296;;Edward I captures Berwick, beginning a major English invasion of Scotland.;https://en.wikipedia.org/wiki/Stone_of_Scone;Scottish History
11 SEP 1297;;William Wallace and Andrew Moray defeat English forces at Stirling Bridge.;https://en.wikipedia.org/wiki/Battle_of_Stirling_Bridge;Scottish History
23 AUG 1305;;William Wallace is executed in London.;https://en.wikipedia.org/wiki/William_Wallace;Scottish History
25 MAR 1306;;Robert the Bruce is crowned King of Scots.;https://en.wikipedia.org/wiki/Robert_the_Bruce;Scottish History
24 JUN 1314;;Robert the Bruce defeats Edward II at the Battle of Bannockburn.;https://en.wikipedia.org/wiki/Battle_of_Bannockburn;Scottish History
6 APR 1320;;The Declaration of Arbroath asserts Scottish independence.;https://en.wikipedia.org/wiki/Declaration_of_Arbroath;Scottish History
17 MAR 1328;;The Treaty of Edinburgh Northampton recognises Scottish independence.;https://en.wikipedia.org/wiki/Treaty_of_Edinburgh-Northampton;Scottish History
22 FEB 1371;;Robert II becomes the first Stewart king of Scotland.;https://en.wikipedia.org/wiki/Robert_II_of_Scotland;Scottish History
1406;;James I becomes king but spends years as a prisoner in England.;https://en.wikipedia.org/wiki/James_I_of_Scotland;Scottish History
21 FEB 1437;;James I is assassinated at Perth.;https://en.wikipedia.org/wiki/James_I_of_Scotland;Scottish History
3 AUG 1460;;James II dies during the siege of Roxburgh Castle.;https://en.wikipedia.org/wiki/James_II_of_Scotland;Scottish History
11 JUN 1488;;James IV becomes king after the death of James III at Sauchieburn.;https://en.wikipedia.org/wiki/James_IV_of_Scotland;Scottish History
8 AUG 1503;;James IV marries Margaret Tudor, linking the Scottish and English royal lines.;https://en.wikipedia.org/wiki/Margaret_Tudor;Scottish History
9 SEP 1513;;James IV is killed at the Battle of Flodden.;https://en.wikipedia.org/wiki/Battle_of_Flodden;Scottish History
1542;;Mary, Queen of Scots becomes queen as an infant.;https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots;Scottish History
1547;;The Scots are defeated by English forces at Pinkie Cleugh.;https://en.wikipedia.org/wiki/Battle_of_Pinkie_Cleugh;Scottish History
24 AUG 1560;;The Scottish Reformation Parliament rejects papal authority.;https://en.wikipedia.org/wiki/Scottish_Reformation;Scottish History
1561;;Mary, Queen of Scots returns to Scotland from France.;https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots;Scottish History
24 JUL 1567;;Mary, Queen of Scots is forced to abdicate and James VI becomes king.;https://en.wikipedia.org/wiki/James_VI_and_I;Scottish History
1582;;The Ruthven Raid temporarily captures King James VI.;https://en.wikipedia.org/wiki/Raid_of_Ruthven;Scottish History
1603;;James VI of Scotland becomes James I of England in the Union of the Crowns.;https://en.wikipedia.org/wiki/Union_of_the_Crowns;Scottish History
28 FEB 1638;;The National Covenant is signed in opposition to Charles I’s religious policies.;https://en.wikipedia.org/wiki/National_Covenant;Scottish History
1 SEP 1644;;Montrose wins at Tippermuir, opening a major royalist campaign in Scotland.;https://en.wikipedia.org/wiki/James_Graham,_1st_Marquess_of_Montrose;Scottish History
1650;;Charles II is crowned King of Scots at Scone.;https://en.wikipedia.org/wiki/Charles_II_of_England;Scottish History
1651;;Scotland is occupied by Cromwell’s forces after the Battle of Worcester.;https://en.wikipedia.org/wiki/Battle_of_Worcester;Scottish History
