#date;end_date;event_text;link;category
12 MAR 1488;;Bartolomeu Dias rounds the Cape of Good Hope, opening a sea route around southern Africa.;https://en.wikipedia.org/wiki/Bartolomeu_Dias;South African History
22 NOV 1497;;Vasco da Gama sails around the Cape on his voyage to India.;https://en.wikipedia.org/wiki/Vasco_da_Gama;South African History
6 APR 1652;;The Dutch East India Company establishes a refreshment station at the Cape under Jan van Riebeeck.;https://en.wikipedia.org/wiki/Jan_van_Riebeeck;South African History
31 DEC 1687;;The first French Huguenot refugees begin arriving at the Cape, with larger arrivals following in 1688.;https://en.wikipedia.org/wiki/Huguenots_in_South_Africa;South African History
16 SEP 1795;;Britain occupies the Cape Colony during the French Revolutionary Wars.;https://en.wikipedia.org/wiki/Invasion_of_the_Cape_Colony;South African History
8 JAN 1806;;Britain takes permanent control of the Cape after the Battle of Blaauwberg.;https://en.wikipedia.org/wiki/Battle_of_Blaauwberg;South African History
10 APR 1820;;British settlers arrive in the eastern Cape.;https://en.wikipedia.org/wiki/1820_Settlers;South African History
1828;;Ordinance 50 grants legal rights to Khoikhoi and other free people of colour in the Cape.;https://en.wikipedia.org/wiki/Ordinance_50;South African History
1 DEC 1834;;Slavery is abolished in the Cape Colony.;https://en.wikipedia.org/wiki/Slavery_Abolition_Act_1833;South African History
1 JAN 1835;;Boer groups begin leaving the Cape Colony in the movement later known as the Great Trek.;https://en.wikipedia.org/wiki/Great_Trek;South African History
16 DEC 1838;;Voortrekker forces defeat Zulu forces at the Battle of Blood River.;https://en.wikipedia.org/wiki/Battle_of_Blood_River;South African History
1843;;Britain annexes Natal.;https://en.wikipedia.org/wiki/Colony_of_Natal;South African History
1852;;The Sand River Convention recognises the independence of the South African Republic.;https://en.wikipedia.org/wiki/Sand_River_Convention;South African History
1854;;The Bloemfontein Convention recognises the Orange Free State.;https://en.wikipedia.org/wiki/Bloemfontein_Convention;South African History
1867;;Diamonds are discovered near the Vaal River.;https://en.wikipedia.org/wiki/Diamond_fields_of_South_Africa;South African History
1877;;Britain annexes the South African Republic, increasing tensions with Boers.;https://en.wikipedia.org/wiki/South_African_Republic;South African History
1879;;The Anglo-Zulu War is fought, including Isandlwana and Rorke’s Drift.;https://en.wikipedia.org/wiki/Anglo-Zulu_War;South African History
16 DEC 1880;;The First Boer War begins after Boer republicans proclaim renewed independence for the Transvaal.;https://en.wikipedia.org/wiki/First_Boer_War;South African History
1 JAN 1886;;Gold is discovered on the Witwatersrand, transforming the regional economy.;https://en.wikipedia.org/wiki/Witwatersrand_Gold_Rush;South African History
1895;;The Jameson Raid increases tensions before the Second Boer War.;https://en.wikipedia.org/wiki/Jameson_Raid;South African History
11 OCT 1899;;The Second Boer War begins between Britain and the Boer republics.;https://en.wikipedia.org/wiki/Second_Boer_War;South African History
1902;;The Treaty of Vereeniging ends the Second Boer War.;https://en.wikipedia.org/wiki/Treaty_of_Vereeniging;South African History
1910;;The Union of South Africa is established.;https://en.wikipedia.org/wiki/Union_of_South_Africa;South African History
1912;;The South African Native National Congress, later the ANC, is founded.;https://en.wikipedia.org/wiki/African_National_Congress;South African History
1913;;The Natives Land Act severely restricts Black land ownership.;https://en.wikipedia.org/wiki/Natives_Land_Act,_1913;South African History
4 AUG 1914;;South Africa enters the First World War as part of the British Empire.;https://en.wikipedia.org/wiki/Military_history_of_South_Africa_during_World_War_I;South African History
15 SEP 1914;;The Maritz Rebellion challenges South Africa’s entry into the First World War.;https://en.wikipedia.org/wiki/Maritz_rebellion;South African History
1922;;The Rand Rebellion erupts among white mine workers.;https://en.wikipedia.org/wiki/Rand_Rebellion;South African History
1931;;The Statute of Westminster increases South Africa’s autonomy within the British Commonwealth.;https://en.wikipedia.org/wiki/Statute_of_Westminster_1931;South African History
1939;;South Africa participates in the Second World War.;https://en.wikipedia.org/wiki/Military_history_of_South_Africa_during_World_War_II;South African History
1948;;The National Party wins government and begins formal apartheid policy.;https://en.wikipedia.org/wiki/Apartheid;South African History
1950;;The Population Registration Act classifies South Africans by race.;https://en.wikipedia.org/wiki/Population_Registration_Act,_1950;South African History
1952;;The Defiance Campaign challenges apartheid laws.;https://en.wikipedia.org/wiki/Defiance_Campaign;South African History
1955;;The Freedom Charter is adopted at Kliptown.;https://en.wikipedia.org/wiki/Freedom_Charter;South African History
1956;;The Treason Trial targets anti-apartheid activists.;https://en.wikipedia.org/wiki/Treason_Trial;South African History
1960;;Police kill protesters at Sharpeville.;https://en.wikipedia.org/wiki/Sharpeville_massacre;South African History
31 MAY 1961;;South Africa becomes a republic and leaves the Commonwealth.;https://en.wikipedia.org/wiki/Republic_of_South_Africa_(1961–present);South African History
1961;;Umkhonto we Sizwe is formed as the ANC’s armed wing.;https://en.wikipedia.org/wiki/Umkhonto_we_Sizwe;South African History
1963;;The Rivonia Trial leads to life sentences for Nelson Mandela and others.;https://en.wikipedia.org/wiki/Rivonia_Trial;South African History
1966;;Prime Minister Hendrik Verwoerd is assassinated.;https://en.wikipedia.org/wiki/Hendrik_Verwoerd;South African History
16 JUN 1976;;The Soweto uprising becomes a turning point in resistance to apartheid.;https://en.wikipedia.org/wiki/Soweto_uprising;South African History
1977;;Steve Biko dies in police custody.;https://en.wikipedia.org/wiki/Steve_Biko;South African History
1983;;The United Democratic Front is formed to oppose apartheid.;https://en.wikipedia.org/wiki/United_Democratic_Front_(South_Africa);South African History
1985;;A state of emergency is declared amid escalating unrest.;https://en.wikipedia.org/wiki/State_of_emergency_in_South_Africa;South African History
1989;;F. W. de Klerk becomes state president.;https://en.wikipedia.org/wiki/F._W._de_Klerk;South African History
11 FEB 1990;;Nelson Mandela is released and the ANC is unbanned.;https://en.wikipedia.org/wiki/Nelson_Mandela;South African History
1991;;Key apartheid laws are repealed.;https://en.wikipedia.org/wiki/Apartheid_legislation_in_South_Africa;South African History
1993;;An interim constitution is agreed during negotiations to end apartheid.;https://en.wikipedia.org/wiki/Interim_Constitution_of_South_Africa;South African History
27 APR 1994;;South Africa holds its first democratic election with universal adult suffrage.;https://en.wikipedia.org/wiki/1994_South_African_general_election;South African History
1995;;South Africa wins the Rugby World Cup on home soil.;https://en.wikipedia.org/wiki/1995_Rugby_World_Cup;South African History
1996;;South Africa adopts a new democratic constitution.;https://en.wikipedia.org/wiki/Constitution_of_South_Africa;South African History
1998;;The Truth and Reconciliation Commission presents its report.;https://en.wikipedia.org/wiki/Truth_and_Reconciliation_Commission_(South_Africa);South African History
1999;;Thabo Mbeki becomes president.;https://en.wikipedia.org/wiki/Thabo_Mbeki;South African History
2004;;South Africa celebrates ten years of democracy.;https://en.wikipedia.org/wiki/History_of_South_Africa_(1994–present);South African History
2008;;Xenophobic attacks affect communities across South Africa.;https://en.wikipedia.org/wiki/2008_South_African_xenophobic_violence;South African History
2010;;South Africa hosts the FIFA World Cup.;https://en.wikipedia.org/wiki/2010_FIFA_World_Cup;South African History
2012;;Police kill striking miners at Marikana.;https://en.wikipedia.org/wiki/Marikana_massacre;South African History
2013;;Nelson Mandela dies.;https://en.wikipedia.org/wiki/Death_of_Nelson_Mandela;South African History
2018;;Cyril Ramaphosa becomes president after Jacob Zuma resigns.;https://en.wikipedia.org/wiki/Cyril_Ramaphosa;South African History
