#date;end_date;event_text;link;category
1025;;Bolesław I is crowned first king of Poland.;https://en.wikipedia.org/wiki/Boles%C5%82aw_I_the_Brave;Polish History
1138;;The Testament of Bolesław III divides Poland among his sons.;https://en.wikipedia.org/wiki/Testament_of_Boles%C5%82aw_III_Wrymouth;Polish History
1241;;Mongol forces defeat Polish forces at the Battle of Legnica.;https://en.wikipedia.org/wiki/Battle_of_Legnica;Polish History
1320;;Władysław I is crowned king, helping reunite the Polish kingdom.;https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_I_%C5%81okietek;Polish History
1364;;The University of Kraków is founded.;https://en.wikipedia.org/wiki/Jagiellonian_University;Polish History
1385;;The Union of Krewo links Poland and Lithuania.;https://en.wikipedia.org/wiki/Union_of_Krewo;Polish History
1410;;Polish-Lithuanian forces defeat the Teutonic Order at Grunwald.;https://en.wikipedia.org/wiki/Battle_of_Grunwald;Polish History
1569;;The Union of Lublin creates the Polish-Lithuanian Commonwealth.;https://en.wikipedia.org/wiki/Union_of_Lublin;Polish History
1573;;The Warsaw Confederation guarantees religious tolerance for nobles in the Commonwealth.;https://en.wikipedia.org/wiki/Warsaw_Confederation;Polish History
1683;;King John III Sobieski helps lift the Ottoman siege of Vienna.;https://en.wikipedia.org/wiki/John_III_Sobieski;Polish History
1772;;The First Partition of Poland divides territory among Russia, Prussia and Austria.;https://en.wikipedia.org/wiki/First_Partition_of_Poland;Polish History
3 MAY 1791;;The Constitution of 3 May is adopted in the Polish-Lithuanian Commonwealth.;https://en.wikipedia.org/wiki/Constitution_of_3_May_1791;Polish History
1795;;The Third Partition removes Poland from the map as a sovereign state.;https://en.wikipedia.org/wiki/Third_Partition_of_Poland;Polish History
1830;1831;The November Uprising challenges Russian rule.;https://en.wikipedia.org/wiki/November_Uprising;Polish History
1863;1864;The January Uprising challenges Russian rule in partitioned Poland.;https://en.wikipedia.org/wiki/January_Uprising;Polish History
1918;;Poland regains independence after the First World War.;https://en.wikipedia.org/wiki/Second_Polish_Republic;Polish History
1920;;Poland defeats Soviet Russia at the Battle of Warsaw.;https://en.wikipedia.org/wiki/Battle_of_Warsaw_(1920);Polish History
1939;;Nazi Germany and the Soviet Union invade Poland.;https://en.wikipedia.org/wiki/Invasion_of_Poland;Polish History
1944;;The Warsaw Uprising begins against German occupation.;https://en.wikipedia.org/wiki/Warsaw_Uprising;Polish History
1945;;Poland's borders shift west after the Second World War.;https://en.wikipedia.org/wiki/Territorial_changes_of_Poland_immediately_after_World_War_II;Polish History
1980;;Solidarity is founded at the Gdańsk Shipyard.;https://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union);Polish History
1989;;Round Table talks lead to partly free elections and the end of communist rule.;https://en.wikipedia.org/wiki/Polish_Round_Table_Agreement;Polish History
1999;;Poland joins NATO.;https://en.wikipedia.org/wiki/1999_NATO_enlargement;Polish History
2004;;Poland joins the European Union.;https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union;Polish History
