#date;end_date;event_text;link;category
1000;;Norse explorers establish a short-lived settlement at L’Anse aux Meadows in Newfoundland.;https://en.wikipedia.org/wiki/L%27Anse_aux_Meadows;Canadian History
24 JUN 1497;;John Cabot reaches the North Atlantic coast under English commission.;https://en.wikipedia.org/wiki/John_Cabot;Canadian History
24 JUL 1534;;Jacques Cartier explores the Gulf of St Lawrence and claims territory for France.;https://en.wikipedia.org/wiki/Jacques_Cartier;Canadian History
27 JUL 1605;;Port-Royal is established in Acadia.;https://en.wikipedia.org/wiki/Port-Royal_(Acadia);Canadian History
3 JUL 1608;;Samuel de Champlain founds Quebec City.;https://en.wikipedia.org/wiki/Quebec_City;Canadian History
2 AUG 1610;;Henry Hudson explores Hudson Bay.;https://en.wikipedia.org/wiki/Henry_Hudson;Canadian History
17 MAY 1642;;Ville-Marie, later Montreal, is founded.;https://en.wikipedia.org/wiki/Montreal;Canadian History
2 MAY 1670;;The Hudson’s Bay Company is chartered.;https://en.wikipedia.org/wiki/Hudson%27s_Bay_Company;Canadian History
4 AUG 1701;;The Great Peace of Montreal is agreed between New France and many Indigenous nations.;https://en.wikipedia.org/wiki/Great_Peace_of_Montreal;Canadian History
1713;;The Treaty of Utrecht transfers Acadia, Newfoundland and Hudson Bay territory to Britain.;https://en.wikipedia.org/wiki/Treaty_of_Utrecht;Canadian History
10 AUG 1755;;The deportation of the Acadians begins.;https://en.wikipedia.org/wiki/Expulsion_of_the_Acadians;Canadian History
1759;;British forces defeat the French at the Battle of the Plains of Abraham.;https://en.wikipedia.org/wiki/Battle_of_the_Plains_of_Abraham;Canadian History
1763;;The Treaty of Paris gives Britain control of New France.;https://en.wikipedia.org/wiki/Treaty_of_Paris_(1763);Canadian History
1774;;The Quebec Act recognises French civil law and Catholic rights in Quebec.;https://en.wikipedia.org/wiki/Quebec_Act;Canadian History
1783;;Loyalist migration to British North America increases after the American Revolution.;https://en.wikipedia.org/wiki/United_Empire_Loyalist;Canadian History
26 DEC 1791;;The Constitutional Act divides Quebec into Upper Canada and Lower Canada.;https://en.wikipedia.org/wiki/Constitutional_Act_1791;Canadian History
18 JUN 1812;;The United States declares war on Britain, beginning the War of 1812 in British North America.;https://en.wikipedia.org/wiki/War_of_1812;Canadian History
1818;;The 49th parallel is established as part of the US-British North American boundary.;https://en.wikipedia.org/wiki/Treaty_of_1818;Canadian History
6 NOV 1837;;The Lower Canada Rebellion begins, followed by further unrest in Upper Canada.;https://en.wikipedia.org/wiki/Rebellions_of_1837–1838;Canadian History
1841;;The Province of Canada is formed by uniting Upper and Lower Canada.;https://en.wikipedia.org/wiki/Province_of_Canada;Canadian History
1849;;Responsible government is firmly established in the Province of Canada.;https://en.wikipedia.org/wiki/Responsible_government;Canadian History
1858;;The Colony of British Columbia is created during the Fraser Canyon Gold Rush.;https://en.wikipedia.org/wiki/Colony_of_British_Columbia_(1858–1866);Canadian History
1864;;The Charlottetown and Quebec Conferences develop plans for Confederation.;https://en.wikipedia.org/wiki/Canadian_Confederation;Canadian History
1 JUL 1867;;Canadian Confederation creates the Dominion of Canada.;https://en.wikipedia.org/wiki/Canadian_Confederation;Canadian History
1869;;The Red River Resistance begins under Louis Riel.;https://en.wikipedia.org/wiki/Red_River_Rebellion;Canadian History
15 JUL 1870;;Manitoba joins Confederation.;https://en.wikipedia.org/wiki/Manitoba;Canadian History
20 JUL 1871;;British Columbia joins Confederation.;https://en.wikipedia.org/wiki/British_Columbia;Canadian History
1 JUL 1873;;Prince Edward Island joins Confederation.;https://en.wikipedia.org/wiki/Prince_Edward_Island;Canadian History
1876;;The Indian Act is passed.;https://en.wikipedia.org/wiki/Indian_Act;Canadian History
1885;;The North-West Resistance is defeated and Louis Riel is executed.;https://en.wikipedia.org/wiki/North-West_Rebellion;Canadian History
1885;;The Canadian Pacific Railway is completed.;https://en.wikipedia.org/wiki/Canadian_Pacific_Railway;Canadian History
1896;;The Klondike Gold Rush begins.;https://en.wikipedia.org/wiki/Klondike_Gold_Rush;Canadian History
1 SEP 1905;;Alberta and Saskatchewan become provinces.;https://en.wikipedia.org/wiki/Alberta;Canadian History
4 AUG 1914;;Canada enters the First World War when Britain declares war on Germany.;https://en.wikipedia.org/wiki/Military_history_of_Canada_during_World_War_I;Canadian History
1917;;Canadian forces capture Vimy Ridge.;https://en.wikipedia.org/wiki/Battle_of_Vimy_Ridge;Canadian History
1918;;Women gain federal voting rights in Canada with some exclusions.;https://en.wikipedia.org/wiki/Womens_suffrage_in_Canada;Canadian History
1919;;The Winnipeg General Strike becomes a major labour conflict.;https://en.wikipedia.org/wiki/Winnipeg_general_strike;Canadian History
1921;;Agnes Macphail becomes the first woman elected to the House of Commons.;https://en.wikipedia.org/wiki/Agnes_Macphail;Canadian History
1923;;The Chinese Immigration Act severely restricts Chinese immigration.;https://en.wikipedia.org/wiki/Chinese_Immigration_Act,_1923;Canadian History
1926;;The Balfour Declaration recognises dominion autonomy within the British Empire.;https://en.wikipedia.org/wiki/Balfour_Declaration_of_1926;Canadian History
1929;;The Persons Case recognises women as persons eligible for the Senate.;https://en.wikipedia.org/wiki/Edwards_v_Canada_(AG);Canadian History
1931;;The Statute of Westminster confirms Canadian legislative independence.;https://www.thecanadianencyclopedia.ca/en/article/statute-of-westminster;Canadian History
10 SEP 1939;;Canada declares war on Germany, entering the Second World War.;https://en.wikipedia.org/wiki/Military_history_of_Canada_during_World_War_II;Canadian History
1942;;Japanese Canadians are interned during the Second World War.;https://en.wikipedia.org/wiki/Internment_of_Japanese_Canadians;Canadian History
1944;;Canadian troops land on Juno Beach during D-Day.;https://en.wikipedia.org/wiki/Juno_Beach;Canadian History
1947;;Canadian citizenship is legally created.;https://en.wikipedia.org/wiki/Canadian_Citizenship_Act_1946;Canadian History
31 MAR 1949;;Newfoundland joins Canada.;https://en.wikipedia.org/wiki/Newfoundland_and_Labrador;Canadian History
1956;;Lester B. Pearson helps develop United Nations peacekeeping during the Suez Crisis.;https://en.wikipedia.org/wiki/Lester_B._Pearson;Canadian History
10 AUG 1960;;The Canadian Bill of Rights is enacted.;https://en.wikipedia.org/wiki/Canadian_Bill_of_Rights;Canadian History
