#date;end_date;event_text;link;category
1642;;Abel Tasman sights Aotearoa New Zealand, marking the first known European contact with the country.;https://teara.govt.nz/en/european-discovery-of-new-zealand/page-1;New Zealand History
1769;;James Cook maps much of the New Zealand coastline and European knowledge of the islands expands.;https://teara.govt.nz/en/european-discovery-of-new-zealand/page-3;New Zealand History
1792;;Sealers and whalers begin visiting New Zealand waters more frequently, increasing contact between Māori and Europeans.;https://teara.govt.nz/en/whaling;New Zealand History
25 DEC 1814;;Samuel Marsden preaches the first Christian service in New Zealand at Rangihoua in the Bay of Islands.;https://nzhistory.govt.nz/first-christian-service-conducted-new-zealand;New Zealand History
1815;;Mission stations, traders and shipping links increase contact between Māori communities and Europeans.;https://teara.govt.nz/en/missions-and-missionaries;New Zealand History
1820;;Musket warfare intensifies among Māori iwi and hapū, reshaping many communities before large-scale colonisation.;https://nzhistory.govt.nz/war/musket-wars;New Zealand History
1831;;Thirteen northern rangatira ask King William IV for protection, reflecting growing concern over lawlessness and foreign influence.;https://nzhistory.govt.nz/politics/declaration/signing;New Zealand History
28 OCT 1835;;The Declaration of Independence of New Zealand is signed by northern rangatira.;https://nzhistory.govt.nz/culture/declaration-of-independence-taming-the-frontier;New Zealand History
1837;;The New Zealand Association begins promoting organised British settlement.;https://nzhistory.govt.nz/culture/wakefield-and-the-nzc;New Zealand History
1839;;The New Zealand Company sends settlers to establish Wellington, increasing pressure for British intervention.;https://nzhistory.govt.nz/culture/wakefield-and-the-nzc;New Zealand History
22 JAN 1840;;William Hobson arrives in the Bay of Islands as Lieutenant-Governor.;https://nzhistory.govt.nz/politics/treaty/the-treaty-in-brief;New Zealand History
6 FEB 1840;;Te Tiriti o Waitangi, the Treaty of Waitangi, is first signed at Waitangi.;https://nzhistory.govt.nz/politics/treaty/the-treaty-in-brief;New Zealand History
21 MAY 1840;;British sovereignty over New Zealand is proclaimed.;https://nzhistory.govt.nz/politics/treaty/read-the-Treaty/differences-between-the-texts;New Zealand History
1840;;Auckland is selected as the capital of the new colony.;https://teara.govt.nz/en/auckland-region/page-8;New Zealand History
1841;;New Zealand becomes a separate Crown colony, no longer part of New South Wales.;https://www3.parliament.nz/timeline/index.html?lang=en;New Zealand History
1843;;The Wairau Affray becomes one of the first serious armed clashes between Māori and settlers after the Treaty.;https://nzhistory.govt.nz/war/wairau-incident;New Zealand History
1845;;The Northern War begins in the Bay of Islands.;https://nzhistory.govt.nz/war/northern-war;New Zealand History
1848;;The Otago settlement is founded by Scottish settlers.;https://teara.govt.nz/en/otago-places/page-1;New Zealand History
1850;;The Canterbury settlement begins, centred on Christchurch.;https://teara.govt.nz/en/canterbury-places/page-1;New Zealand History
1852;;The New Zealand Constitution Act creates representative government and provincial councils.;https://www3.parliament.nz/timeline/index.html?lang=en;New Zealand History
24 MAY 1854;;New Zealand's first Parliament meets in Auckland.;https://www.parliament.nz/en/visit-and-learn/history-and-buildings/special-topics/the-origins-of-the-new-zealand-parliament/;New Zealand History
1856;;Responsible government begins, giving elected ministers greater control over colonial affairs.;https://www.parliament.nz/en/visit-and-learn/history-and-buildings/special-topics/responsible-government/;New Zealand History
1858;;The first Māori King, Pōtatau Te Wherowhero, is chosen as leader of the Kīngitanga movement.;https://teara.govt.nz/en/kingitanga-the-maori-king-movement;New Zealand History
1860;;War begins in Taranaki over land purchase disputes and sovereignty.;https://nzhistory.govt.nz/war/taranaki-wars;New Zealand History
1861;;Gold is discovered in Otago, transforming migration, settlement and the colonial economy.;https://nzhistory.govt.nz/culture/the-gold-rushes/otago;New Zealand History
1863;;The New Zealand Settlements Act allows land confiscations from Māori considered to be in rebellion.;https://nzhistory.govt.nz/war/new-zealands-19th-century-wars/introduction;New Zealand History
1865;;Wellington becomes the capital of New Zealand.;https://www.parliament.nz/en/visit-and-learn/history-and-buildings/history-of-parliament-s-buildings-and-grounds/;New Zealand History
1867;;Four Māori parliamentary seats are created.;https://nzhistory.govt.nz/politics/maori-and-the-vote/setting-up-seats;New Zealand History
1869;;Julius Vogel promotes large public works and immigration schemes to develop railways, roads and settlement.;https://teara.govt.nz/en/public-works-and-economic-development/page-1;New Zealand History
1870;;The Vogel public works and immigration programme begins to transform transport, migration and colonial development.;https://teara.govt.nz/en/public-works-and-economic-development/page-1;New Zealand History
1873;;The first national railway line opens between Christchurch and Ferrymead.;https://teara.govt.nz/en/railways;New Zealand History
1876;;Provincial government is abolished, centralising political power in Wellington.;https://www3.parliament.nz/timeline/index.html?lang=en;New Zealand History
1877;;The Education Act establishes free, compulsory and secular primary education.;https://teara.govt.nz/en/education/page-3;New Zealand History
1882;;The first shipment of refrigerated meat leaves New Zealand, opening a major export trade with Britain.;https://nzhistory.govt.nz/culture/refrigerated-shipping;New Zealand History
