#date;end_date;event_text;link;category
1002;;Heinrich II. wird König des Ostfrankenreichs und später Heiliger Römischer Kaiser.;https://de.wikipedia.org/wiki/Heinrich_II._(HRR);Deutsche Geschichte
1024;;Konrad II. begründet die Dynastie der Salier.;https://de.wikipedia.org/wiki/Konrad_II._(HRR);Deutsche Geschichte
@#DJULIAN@ 25 JAN 1077;;Heinrich IV. unternimmt den Gang nach Canossa im Konflikt mit Papst Gregor VII.;https://de.wikipedia.org/wiki/Gang_nach_Canossa;Deutsche Geschichte
1122;;Das Wormser Konkordat trägt zur Beilegung des Investiturstreits bei.;https://de.wikipedia.org/wiki/Wormser_Konkordat;Deutsche Geschichte
1152;;Friedrich Barbarossa wird König von Deutschland.;https://de.wikipedia.org/wiki/Friedrich_I._(HRR);Deutsche Geschichte
1180;;Heinrich der Löwe wird geächtet und seine Herzogtümer werden aufgeteilt.;https://de.wikipedia.org/wiki/Heinrich_der_Löwe;Deutsche Geschichte
1190;;Friedrich Barbarossa stirbt während des Dritten Kreuzzugs.;https://de.wikipedia.org/wiki/Friedrich_I._(HRR);Deutsche Geschichte
1220;;Friedrich II. erlässt die Confoederatio cum principibus ecclesiasticis und stärkt damit die geistlichen Fürsten.;https://de.wikipedia.org/wiki/Confoederatio_cum_principibus_ecclesiasticis;Deutsche Geschichte
1254;;Der Rheinische Bund wird gegründet, um Handel und Frieden entlang des Rheins zu sichern.;https://de.wikipedia.org/wiki/Rheinischer_Bund_(1254);Deutsche Geschichte
1273;;Rudolf I. von Habsburg wird zum König gewählt und beendet damit das Große Interregnum.;https://de.wikipedia.org/wiki/Rudolf_I._(HRR);Deutsche Geschichte
1356;;Die Goldene Bulle legt die Regeln für die Wahl des Heiligen Römischen Kaisers fest.;https://de.wikipedia.org/wiki/Goldene_Bulle;Deutsche Geschichte
1410;;Sigismund wird römisch-deutscher König.;https://de.wikipedia.org/wiki/Sigismund_(HRR);Deutsche Geschichte
@#DJULIAN@ 5 NOV 1414;;Das Konstanzer Konzil beginnt und beendet später das Abendländische Schisma.;https://de.wikipedia.org/wiki/Konstanzer_Konzil;Deutsche Geschichte
1450;;Johannes Gutenbergs Buchdruck mit beweglichen Lettern entwickelt sich in Mainz.;https://de.wikipedia.org/wiki/Johannes_Gutenberg;Deutsche Geschichte
@#DJULIAN@ 31 OCT 1517;;Martin Luther veröffentlicht seine 95 Thesen in Wittenberg.;https://de.wikipedia.org/wiki/Thesenanschlag_Martin_Luthers;Deutsche Geschichte
1521;;Luther erscheint vor dem Reichstag zu Worms.;https://de.wikipedia.org/wiki/Reichstag_zu_Worms_(1521);Deutsche Geschichte
@#DJULIAN@ 1 JAN 1524;;Der Deutsche Bauernkrieg beginnt in den südwestdeutschen Gebieten.;https://de.wikipedia.org/wiki/Deutscher_Bauernkrieg;Deutsche Geschichte
1530;;Das Augsburger Bekenntnis legt die lutherischen Glaubenssätze dar.;https://de.wikipedia.org/wiki/Confessio_Augustana;Deutsche Geschichte
@#DJULIAN@ 25 SEP 1555;;Der Augsburger Religionsfrieden erkennt das Luthertum innerhalb des Reiches an.;https://de.wikipedia.org/wiki/Augsburger_Religionsfrieden;Deutsche Geschichte
23 MAY 1618;;Der Prager Fenstersturz löst die Krise aus, die den Dreißigjährigen Krieg beginnt.;https://de.wikipedia.org/wiki/Dreißigjähriger_Krieg;Deutsche Geschichte
24 OCT 1648;;Der Westfälische Friede beendet den Dreißigjährigen Krieg.;https://de.wikipedia.org/wiki/Westfälischer_Friede;Deutsche Geschichte
1701;;Friedrich I. krönt sich selbst zum König in Preußen.;https://de.wikipedia.org/wiki/Friedrich_I._(Preußen);Deutsche Geschichte
1740;;Friedrich der Große wird König von Preußen.;https://de.wikipedia.org/wiki/Friedrich_II._(Preußen);Deutsche Geschichte
29 AUG 1756;;Friedrich II. fällt in Sachsen ein und eröffnet damit die europäische Phase des Siebenjährigen Krieges.;https://de.wikipedia.org/wiki/Siebenjähriger_Krieg;Deutsche Geschichte
1806;;Das Heilige Römische Reich wird nach den napoleonischen Siegen aufgelöst.;https://de.wikipedia.org/wiki/Ende_des_Heiligen_Römischen_Reiches;Deutsche Geschichte
1813;;Die Völkerschlacht bei Leipzig besiegt Napoleons Truppen in Deutschland.;https://de.wikipedia.org/wiki/Völkerschlacht_bei_Leipzig;Deutsche Geschichte
1815;;Der Deutsche Bund wird nach dem Wiener Kongress gegründet.;https://de.wikipedia.org/wiki/Deutscher_Bund;Deutsche Geschichte
1834;;Der Deutsche Zollverein nimmt seine Arbeit auf.;https://de.wikipedia.org/wiki/Deutscher_Zollverein;Deutsche Geschichte
13 MAR 1848;;Revolutionäre Unruhen breiten sich in den deutschen Staaten aus und fordern liberale Reformen sowie nationale Einheit.;https://de.wikipedia.org/wiki/Märzrevolution_1848/1849;Deutsche Geschichte
