#date;end_date;event_text;link;category
1000;;Stephen I is crowned king of Hungary, bringing much of present-day Slovakia into the medieval Hungarian kingdom.;https://en.wikipedia.org/wiki/Stephen_I_of_Hungary;Slovak History
1241;1242;The Mongol invasion devastates areas of present-day Slovakia.;https://en.wikipedia.org/wiki/First_Mongol_invasion_of_Hungary;Slovak History
1465;;Academia Istropolitana is founded in Pressburg, now Bratislava.;https://en.wikipedia.org/wiki/Academia_Istropolitana;Slovak History
1526;;After Mohács, Habsburg rule begins over Royal Hungary including much of present-day Slovakia.;https://en.wikipedia.org/wiki/Royal_Hungary;Slovak History
1536;;Pressburg, now Bratislava, becomes the capital of Royal Hungary.;https://en.wikipedia.org/wiki/Bratislava;Slovak History
1683;;Ottoman power in the region declines after the failed siege of Vienna.;https://en.wikipedia.org/wiki/Great_Turkish_War;Slovak History
1787;;Anton Bernolák codifies the first standard Slovak literary language.;https://en.wikipedia.org/wiki/Anton_Bernol%C3%A1k;Slovak History
1843;;Ľudovít Štúr codifies the Slovak literary language based on central Slovak dialects.;https://en.wikipedia.org/wiki/%C4%BDudov%C3%ADt_%C5%A0t%C3%BAr;Slovak History
1848;1849;The Slovak Uprising seeks national rights during the revolutions in the Habsburg lands.;https://en.wikipedia.org/wiki/Slovak_Uprising_of_1848%E2%80%931849;Slovak History
1861;;The Memorandum of the Slovak Nation calls for Slovak political and cultural rights.;https://en.wikipedia.org/wiki/Memorandum_of_the_Slovak_Nation;Slovak History
1863;;Matica slovenská is founded to support Slovak culture and education.;https://en.wikipedia.org/wiki/Matica_slovensk%C3%A1;Slovak History
1918;;Slovak leaders join the creation of Czechoslovakia.;https://en.wikipedia.org/wiki/Czechoslovakia;Slovak History
1939;;The Slovak Republic is declared under German influence.;https://en.wikipedia.org/wiki/Slovak_Republic_(1939%E2%80%931945);Slovak History
1944;;The Slovak National Uprising begins against Nazi Germany and the collaborationist regime.;https://en.wikipedia.org/wiki/Slovak_National_Uprising;Slovak History
1945;;Czechoslovakia is restored after the Second World War.;https://en.wikipedia.org/wiki/Third_Czechoslovak_Republic;Slovak History
1948;;Communist rule begins in Czechoslovakia after the February coup.;https://en.wikipedia.org/wiki/1948_Czechoslovak_coup_d%27%C3%A9tat;Slovak History
1968;;Czechoslovakia becomes a federation of Czech and Slovak republics.;https://en.wikipedia.org/wiki/Constitutional_Law_of_Federation;Slovak History
1989;;The Velvet Revolution ends communist rule in Czechoslovakia.;https://en.wikipedia.org/wiki/Velvet_Revolution;Slovak History
1993;;Slovakia becomes an independent state after the dissolution of Czechoslovakia.;https://en.wikipedia.org/wiki/Dissolution_of_Czechoslovakia;Slovak History
2004;;Slovakia joins NATO and the European Union.;https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union;Slovak History
2009;;Slovakia adopts the euro.;https://en.wikipedia.org/wiki/Slovakia_and_the_euro;Slovak History
