#date;end_date;event_text;link;category
1000;;In de middeleeuwen ontstaan nieuwe dorpen en steden door ontginning, handel en landbouw.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1122;;Utrecht krijgt stadsrechten en groeit uit tot een belangrijk religieus en bestuurlijk centrum.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1229;;Den Bosch krijgt stadsrechten en wordt een belangrijk handelscentrum in Brabant.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1256;;Graaf Willem II van Holland sneuvelt in de strijd tegen de West-Friezen.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1275;;Amsterdam wordt voor het eerst genoemd in een tolprivilege van graaf Floris V.;https://www.canonvannederland.nl/nl/amsterdam;Nederlandse geschiedenis
1287;;De Sint-Luciavloed veroorzaakt grote overstromingen en vergroot de Zuiderzee.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1296;;Graaf Floris V van Holland wordt vermoord na een conflict met edelen.;https://www.canonvannederland.nl/nl/florisv;Nederlandse geschiedenis
1345;;De Hollanders verliezen de Slag bij Warns tegen de Friezen.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1369;;De Bourgondische invloed in de Lage Landen groeit door huwelijkspolitiek en erfenissen.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1421;;De Sint-Elisabethsvloed overstroomt grote delen van Holland en Zeeland en vormt de Biesbosch.;https://www.canonvannederland.nl/nl/de-st-elizabethsvloed;Nederlandse geschiedenis
1433;;Holland en Zeeland komen onder Bourgondisch gezag van Filips de Goede.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1477;;Maria van Bourgondië verleent het Groot Privilege aan de gewesten van de Lage Landen.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1506;;Karel V erft de Bourgondische Nederlanden en groeit later uit tot een machtige Europese vorst.;https://www.canonvannederland.nl/nl/karelv;Nederlandse geschiedenis
1517;;De Reformatie begint in Europa en heeft grote invloed op geloof en politiek in de Lage Landen.;https://www.canonvannederland.nl/nl/debeeldenstorm;Nederlandse geschiedenis
1531;;Maria van Hongarije wordt landvoogdes van de Nederlanden namens Karel V.;https://www.canonvannederland.nl/;Nederlandse geschiedenis
1543;;Karel V brengt de zeventien Nederlandse gewesten onder één landsheerlijk gezag.;https://www.canonvannederland.nl/nl/karelv;Nederlandse geschiedenis
1555;;Karel V doet afstand van de Nederlanden en Filips II volgt hem op als landsheer.;https://www.canonvannederland.nl/nl/karelv;Nederlandse geschiedenis
1566;;De Beeldenstorm breekt uit en kerken in de Nederlanden worden aangevallen door protestanten.;https://www.canonvannederland.nl/nl/debeeldenstorm;Nederlandse geschiedenis
